期間,營造工程總指數_原始值,營造工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),(一)水泥及其製品類_原始值,(一)水泥及其製品類_年增率(%),(二)砂石及級配類_原始值,(二)砂石及級配類_年增率(%),(三)磚瓦瓷類_原始值,(三)磚瓦瓷類_年增率(%),(四)金屬製品類_原始值,(四)金屬製品類_年增率(%),(五)木材及其製品類_原始值,(五)木材及其製品類_年增率(%),(六)塑膠製品類_原始值,(六)塑膠製品類_年增率(%),(七)油漆塗裝類_原始值,(七)油漆塗裝類_年增率(%),(八)機電設備類_原始值,(八)機電設備類_年增率(%),(九)瀝青及其製品類_原始值,(九)瀝青及其製品類_年增率(%),(十)雜項類_原始值,(十)雜項類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),(一)工資類_原始值,(一)工資類_年增率(%),(二)機具設備租金類_原始值,(二)機具設備租金類_年增率(%),建築工程總指數_原始值,建築工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),按構造別分－鋼筋混凝土工程總指數_原始值,按構造別分－鋼筋混凝土工程總指數_年增率(%),按構造別分－鋼骨鋼筋混凝土工程總指數_原始值,按構造別分－鋼骨鋼筋混凝土工程總指數_年增率(%),按構造別分－鋼骨構造工程總指數_原始值,按構造別分－鋼骨構造工程總指數_年增率(%),土木工程總指數_原始值,土木工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),按工程別分－公路工程總指數_原始值,按工程別分－公路工程總指數_年增率(%),按工程別分－橋梁工程總指數_原始值,按工程別分－橋梁工程總指數_年增率(%),按工程別分－下水道工程總指數_原始值,按工程別分－下水道工程總指數_年增率(%),按工程別分－自來水工程總指數_原始值,按工程別分－自來水工程總指數_年增率(%),按工程別分－治水工程總指數_原始值,按工程別分－治水工程總指數_年增率(%),按工程別分－隧道工程總指數_原始值,按工程別分－隧道工程總指數_年增率(%),按工程別分－港灣工程總指數_原始值,按工程別分－港灣工程總指數_年增率(%)
1991,52.23,-,43.85,-,67.70,-,23.49,-,68.24,-,46.81,-,38.55,-,61.35,-,54.15,-,58.63,-,25.16,-,67.84,-,74.58,-,81.32,-,61.16,-,58.68,-,52.24,-,76.94,-,-,-,-,-,-,-,47.59,-,38.53,-,72.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1992,60.06,14.99,51.39,17.19,80.84,19.41,41.51,76.71,78.73,15.37,45.07,-3.72,44.22,14.71,54.88,-10.55,52.50,-3.05,58.84,0.36,30.50,21.22,65.78,-3.04,82.95,11.22,87.26,7.30,76.28,24.72,63.55,8.30,56.19,7.56,84.26,9.51,-,-,-,-,-,-,57.24,20.28,47.92,24.37,81.70,12.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1993,63.75,6.14,54.07,5.22,81.47,0.78,46.69,12.48,88.29,12.14,46.11,2.31,55.92,26.46,53.93,-1.73,52.29,-0.40,59.58,1.26,30.30,-0.66,65.44,-0.52,89.41,7.79,95.17,9.06,79.31,3.97,67.52,6.25,58.88,4.79,91.37,8.44,-,-,-,-,-,-,60.70,6.04,50.53,5.45,87.62,7.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1994,61.15,-4.08,49.69,-8.10,75.25,-7.63,38.23,-18.12,87.57,-0.82,41.83,-9.28,54.90,-1.82,55.38,2.69,52.97,1.30,60.72,1.91,27.67,-8.68,64.21,-1.88,92.10,3.01,99.65,4.71,77.53,-2.24,66.79,-1.08,56.15,-4.64,95.16,4.15,-,-,-,-,-,-,56.95,-6.18,45.34,-10.27,89.46,2.10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1995,61.76,1.00,49.96,0.54,74.81,-0.58,36.48,-4.58,80.63,-7.93,45.27,8.22,54.13,-1.40,59.33,7.13,58.60,10.63,63.15,4.00,27.26,-1.48,66.57,3.68,93.63,1.66,101.21,1.57,79.08,2.00,68.04,1.87,57.20,1.87,96.94,1.87,-,-,-,-,-,-,57.12,0.30,45.16,-0.40,90.78,1.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1996,61.36,-0.65,49.38,-1.16,73.25,-2.09,38.50,5.54,73.76,-8.52,43.60,-3.69,53.96,-0.31,58.38,-1.60,61.08,4.23,62.07,-1.71,27.02,-0.88,66.58,0.02,93.78,0.16,100.87,-0.34,80.50,1.80,66.83,-1.78,55.47,-3.02,96.86,-0.08,-,-,-,-,-,-,57.21,0.16,45.18,0.04,91.09,0.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997,62.63,2.07,51.22,3.73,72.32,-1.27,46.51,20.81,72.15,-2.18,44.59,2.27,55.60,3.04,60.07,2.89,61.03,-0.08,61.12,-1.53,27.16,0.52,67.93,2.03,93.37,-0.44,100.13,-0.73,80.90,0.50,66.90,0.10,55.84,0.67,96.22,-0.66,-,-,-,-,-,-,59.17,3.43,47.70,5.58,90.87,-0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998,64.19,2.49,53.27,4.00,76.91,6.35,54.09,16.30,76.44,5.95,44.51,-0.18,52.98,-4.71,60.48,0.68,62.82,2.93,62.00,1.44,28.96,6.63,68.44,0.75,93.53,0.17,100.16,0.03,81.33,0.53,67.77,1.30,57.07,2.20,96.31,0.09,-,-,-,-,-,-,61.23,3.48,50.25,5.35,91.11,0.26,57.19,-,65.18,-,-,-,-,-,-,-,-,-,-,-
1999,63.82,-0.58,52.90,-0.69,77.22,0.40,59.31,9.65,75.72,-0.94,40.99,-7.91,57.55,8.63,59.96,-0.86,62.27,-0.88,62.04,0.06,29.97,3.49,67.68,-1.11,93.18,-0.37,99.63,-0.53,81.34,0.01,67.12,-0.96,56.36,-1.24,95.76,-0.57,-,-,-,-,-,-,61.10,-0.21,50.13,-0.24,90.95,-0.18,57.74,0.96,64.10,-1.66,-,-,-,-,-,-,-,-,-,-
2000,63.51,-0.49,52.53,-0.70,72.60,-5.98,60.10,1.33,76.21,0.65,42.29,3.17,55.35,-3.82,60.87,1.52,62.04,-0.37,61.76,-0.45,32.17,7.34,68.11,0.64,93.02,-0.17,99.36,-0.27,81.47,0.16,66.61,-0.76,55.74,-1.10,95.48,-0.29,-,-,-,-,-,-,60.95,-0.25,49.95,-0.36,90.92,-0.03,57.32,-0.73,63.86,-0.37,-,-,-,-,-,-,-,-,-,-
