期間,件數總計(件)_原始值,件數總計(件)_年增率(%),金額總計(新台幣千元)_原始值,金額總計(新台幣千元)_年增率(%),違反金融件數(件)_原始值,違反金融件數(件)_年增率(%),違反金融金額(新台幣千元)_原始值,違反金融金額(新台幣千元)_年增率(%),違法販賣汽柴油件數(件)_原始值,違法販賣汽柴油件數(件)_年增率(%),違法販賣汽柴油金額(新台幣千元)_原始值,違法販賣汽柴油金額(新台幣千元)_年增率(%),走私件數(件)_原始值,走私件數(件)_年增率(%),走私金額(新台幣千元)_原始值,走私金額(新台幣千元)_年增率(%),私造菸酒件數(件)_原始值,私造菸酒件數(件)_年增率(%),私造菸酒金額(新台幣千元)_原始值,私造菸酒金額(新台幣千元)_年增率(%),侵害智慧財產權件數(件)_原始值,侵害智慧財產權件數(件)_年增率(%),侵害智慧財產權金額(新台幣千元)_原始值,侵害智慧財產權金額(新台幣千元)_年增率(%),盜採砂(土)石件數(件)_原始值,盜採砂(土)石件數(件)_年增率(%),濫盜(伐)林木件數 (件)_原始值,濫盜(伐)林木件數 (件)_年增率(%),濫墾林地、山坡地件數(件)_原始值,濫墾林地、山坡地件數(件)_年增率(%),違反公平交易法件數(件)_原始值,違反公平交易法件數(件)_年增率(%),違反公平交易法金額(新台幣千元)_原始值,違反公平交易法金額(新台幣千元)_年增率(%),其他件數(件)_原始值,其他件數(件)_年增率(%),其他金額(新台幣千元)_原始值,其他金額(新台幣千元)_年增率(%)
1993,"11,394",...,"4,926,681",...,176,...,"654,139",...,57,...,...,...,"3,608",...,"3,945,690",...,39,...,"5,494",...,731,...,...,...,0,...,176,...,0,...,0,...,0,...,"6,607",...,"321,358",...
1994,"12,140",6.55,"4,815,178",-2.26,423,140.34,"1,068,808",63.39,73,28.07,"12,505",...,"4,845",34.28,"3,135,704",-20.53,53,35.90,"7,743",40.94,"1,454",98.91,"297,558",...,0,--,104,-40.91,218,--,0,--,0,--,"4,970",-24.78,"292,860",-8.87
1995,"10,829",-10.80,"11,445,090",137.69,432,2.13,"7,684,996",619.02,76,4.11,"10,914",-12.72,"2,960",-38.91,"3,078,007",-1.84,58,9.43,"20,637",166.52,"1,534",5.50,"482,148",62.03,0,--,92,-11.54,263,20.64,0,--,0,--,"5,414",8.93,"168,388",-42.50
1996,"11,197",3.40,"5,181,276",-54.73,706,63.43,"1,310,419",-82.95,116,52.63,"19,685",80.36,"2,637",-10.91,"3,015,569",-2.03,69,18.97,"30,544",48.01,"1,639",6.84,"527,643",9.44,0,--,103,11.96,274,4.18,0,--,0,--,"5,653",4.41,"277,417",64.75
1997,"11,846",5.80,"7,232,233",39.58,860,21.81,"2,216,326",69.13,158,36.21,"28,802",46.31,"2,587",-1.90,"2,392,875",-20.65,104,50.72,"52,134",70.68,"1,680",2.50,"1,554,432",194.60,0,--,96,-6.80,268,-2.19,0,--,0,--,"6,093",7.78,"987,665",256.02
1998,"11,795",-0.43,"5,644,379",-21.96,987,14.77,"1,486,770",-32.92,256,62.03,"47,761",65.83,"2,340",-9.55,"2,014,638",-15.81,69,-33.65,"12,963",-75.14,"1,848",10.00,"1,052,537",-32.29,0,--,46,-52.08,252,-5.97,0,--,0,--,"5,997",-1.58,"1,029,710",4.26
1999,"11,485",-2.63,"9,314,401",65.02,"1,154",16.92,"1,363,116",-8.32,316,23.44,"179,330",275.47,"2,539",8.50,"3,261,480",61.89,87,26.09,"36,604",182.37,"2,568",38.96,"4,288,054",307.40,0,--,48,4.35,354,40.48,0,--,0,--,"4,419",-26.31,"185,817",-81.95
2000,"11,760",2.39,"10,600,062",13.80,837,-27.47,"910,920",-33.17,296,-6.33,"65,253",-63.61,"2,096",-17.45,"1,026,087",-68.54,77,-11.49,"14,498",-60.39,"4,304",67.60,"8,358,704",94.93,0,--,60,25.00,200,-43.50,0,--,0,--,"3,890",-11.97,"224,600",20.87
2001,"13,802",17.36,"10,030,383",-5.37,"1,083",29.39,"624,741",-31.42,207,-30.07,"41,979",-35.67,682,-67.46,"892,949",-12.98,65,-15.58,"20,209",39.39,"5,270",22.44,"8,202,571",-1.87,0,--,69,15.00,167,-16.50,0,--,0,--,"6,259",60.90,"247,933",10.39
2002,"11,377",-17.57,"12,443,906",24.06,"1,279",18.10,"674,811",8.01,185,-10.63,"39,144",-6.75,533,-21.85,"584,179",-34.58,505,676.92,"269,097","1,231.57","5,118",-2.88,"10,010,371",22.04,350,--,89,28.99,196,17.37,0,--,0,--,"3,122",-50.12,"866,306",249.41
2003,"10,582",-6.99,"16,769,585",34.76,"1,259",-1.56,"1,741,247",158.03,270,45.95,"31,430",-19.71,575,7.88,"644,924",10.40,363,-28.12,"880,316",227.14,"4,660",-8.95,"12,622,499",26.09,367,4.86,64,-28.09,181,-7.65,0,--,0,--,"2,843",-8.94,"849,169",-1.98
