期間,件數總計(件)_原始值,件數總計(件)_年增率(%),金額總計(新台幣千元)_原始值,金額總計(新台幣千元)_年增率(%),違反金融件數(件)_原始值,違反金融件數(件)_年增率(%),違反金融金額(新台幣千元)_原始值,違反金融金額(新台幣千元)_年增率(%),違法販賣汽柴油件數(件)_原始值,違法販賣汽柴油件數(件)_年增率(%),違法販賣汽柴油金額(新台幣千元)_原始值,違法販賣汽柴油金額(新台幣千元)_年增率(%),走私件數(件)_原始值,走私件數(件)_年增率(%),走私金額(新台幣千元)_原始值,走私金額(新台幣千元)_年增率(%),私造菸酒件數(件)_原始值,私造菸酒件數(件)_年增率(%),私造菸酒金額(新台幣千元)_原始值,私造菸酒金額(新台幣千元)_年增率(%),侵害智慧財產權件數(件)_原始值,侵害智慧財產權件數(件)_年增率(%),侵害智慧財產權金額(新台幣千元)_原始值,侵害智慧財產權金額(新台幣千元)_年增率(%),盜採砂(土)石件數(件)_原始值,盜採砂(土)石件數(件)_年增率(%),濫盜(伐)林木件數 (件)_原始值,濫盜(伐)林木件數 (件)_年增率(%),濫墾林地、山坡地件數(件)_原始值,濫墾林地、山坡地件數(件)_年增率(%),違反公平交易法件數(件)_原始值,違反公平交易法件數(件)_年增率(%),違反公平交易法金額(新台幣千元)_原始值,違反公平交易法金額(新台幣千元)_年增率(%),其他件數(件)_原始值,其他件數(件)_年增率(%),其他金額(新台幣千元)_原始值,其他金額(新台幣千元)_年增率(%)
2002M01,"1,097",...,"1,106,837",...,67,...,"41,919",...,6,...,755,...,25,...,"44,605",...,4,...,"15,577",...,469,...,"974,911",...,15,...,2,...,12,...,0,...,0,...,497,...,"29,070",...
2002M02,853,...,"1,191,885",...,68,...,"21,643",...,5,...,857,...,44,...,"49,291",...,5,...,"3,292",...,348,...,"896,116",...,75,...,6,...,20,...,0,...,0,...,282,...,"220,687",...
2002M03,979,...,"1,698,587",...,45,...,"16,306",...,9,...,"1,857",...,21,...,"7,303",...,8,...,"6,692",...,554,...,"1,624,822",...,24,...,11,...,39,...,0,...,0,...,268,...,"41,607",...
2002M04,"1,193",...,"1,033,181",...,89,...,"79,352",...,27,...,"5,402",...,40,...,"28,015",...,7,...,420,...,486,...,"870,662",...,20,...,5,...,11,...,0,...,0,...,508,...,"49,330",...
2002M05,975,...,"1,994,284",...,91,...,"31,341",...,28,...,"5,492",...,37,...,"113,299",...,6,...,"6,867",...,479,...,"1,810,707",...,23,...,6,...,13,...,0,...,0,...,292,...,"26,577",...
2002M06,732,...,"355,950",...,103,...,"66,358",...,20,...,"5,062",...,63,...,"66,579",...,11,...,"13,507",...,386,...,"188,919",...,14,...,7,...,19,...,0,...,0,...,109,...,"15,526",...
2002M07,853,...,"534,299",...,61,...,"28,777",...,23,...,"6,294",...,43,...,"52,656",...,10,...,"3,119",...,454,...,"425,000",...,28,...,12,...,11,...,0,...,0,...,211,...,"18,454",...
2002M08,820,...,"1,363,051",...,122,...,"102,451",...,12,...,"4,241",...,43,...,"69,089",...,12,...,"1,766",...,409,...,"1,137,594",...,35,...,5,...,13,...,0,...,0,...,169,...,"47,910",...
2002M09,788,...,"722,821",...,117,...,"70,114",...,5,...,"1,061",...,47,...,"36,343",...,11,...,"26,149",...,414,...,"570,349",...,24,...,10,...,21,...,0,...,0,...,139,...,"18,804",...
2002M10,823,...,"393,035",...,169,...,"19,489",...,16,...,"1,345",...,60,...,"51,673",...,25,...,"23,630",...,397,...,"256,452",...,22,...,2,...,13,...,0,...,0,...,119,...,"40,446",...
2002M11,"1,287",...,"837,040",...,146,...,"38,494",...,16,...,"3,576",...,54,...,"28,815",...,337,...,"136,890",...,298,...,"334,241",...,22,...,13,...,4,...,0,...,0,...,397,...,"295,025",...
2002M12,977,...,"1,212,936",...,201,...,"158,569",...,18,...,"3,202",...,56,...,"36,510",...,69,...,"31,188",...,424,...,"920,598",...,48,...,10,...,20,...,0,...,0,...,131,...,"62,869",...
