期間,總計_原始值,總計_年增率(%),人為縱火_原始值,人為縱火_年增率(%),自殺_原始值,自殺_年增率(%),燈燭_原始值,燈燭_年增率(%),爐火烹調_原始值,爐火烹調_年增率(%),敬神掃墓祭祖_原始值,敬神掃墓祭祖_年增率(%),菸蒂_原始值,菸蒂_年增率(%),電氣設備_原始值,電氣設備_年增率(%),機械設備_原始值,機械設備_年增率(%),玩火_原始值,玩火_年增率(%),烤火_原始值,烤火_年增率(%),燒什草垃圾_原始值,燒什草垃圾_年增率(%),施工不慎_原始值,施工不慎_年增率(%),易燃品自(復)燃_原始值,易燃品自(復)燃_年增率(%),瓦斯漏氣或爆炸_原始值,瓦斯漏氣或爆炸_年增率(%),化學物品_原始值,化學物品_年增率(%),燃放爆竹_原始值,燃放爆竹_年增率(%),交通事故_原始值,交通事故_年增率(%),天然災害_原始值,天然災害_年增率(%),原因不明_原始值,原因不明_年增率(%),其他_原始值,其他_年增率(%)
1991,"7,742",...,408,...,...,...,66,...,485,...,278,...,"1,207",...,"1,885",...,623,...,236,...,20,...,738,...,117,...,48,...,47,...,16,...,...,...,...,...,...,...,"1,014",...,554,...
1992,"7,389",-4.56,493,20.83,...,...,57,-13.64,501,3.30,188,-32.37,"1,224",1.41,"2,065",9.55,597,-4.17,195,-17.37,8,-60.00,532,-27.91,127,8.55,32,-33.33,77,63.83,12,-25.00,...,...,...,...,...,...,829,-18.24,452,-18.41
1993,"9,870",33.58,570,15.62,...,...,96,68.42,634,26.55,391,107.98,"2,020",65.03,"2,282",10.51,727,21.78,243,24.62,28,250.00,"1,138",113.91,119,-6.30,36,12.50,106,37.66,22,83.33,...,...,...,...,...,...,846,2.05,612,35.40
1994,"10,763",9.05,765,34.21,...,...,116,20.83,684,7.89,380,-2.81,"2,070",2.48,"2,471",8.28,777,6.88,221,-9.05,25,-10.71,"1,552",36.38,150,26.05,30,-16.67,116,9.43,24,9.09,...,...,...,...,...,...,794,-6.15,588,-3.92
1995,"10,916",1.42,719,-6.01,...,...,97,-16.38,721,5.41,311,-18.16,"2,185",5.56,"2,385",-3.48,842,8.37,206,-6.79,16,-36.00,"1,632",5.15,116,-22.67,31,3.33,106,-8.62,8,-66.67,...,...,...,...,...,...,866,9.07,675,14.80
1996,"13,309",21.92,860,19.61,...,...,124,27.84,894,23.99,524,68.49,"2,592",18.63,"2,610",9.43,888,5.46,251,21.84,15,-6.25,"2,847",74.45,151,30.17,27,-12.90,95,-10.38,17,112.50,...,...,...,...,...,...,767,-11.43,647,-4.15
1997,"15,115",13.57,718,-16.51,39,...,126,1.61,945,5.70,432,-17.56,"1,882",-27.39,"2,663",2.03,878,-1.13,165,-34.26,22,46.67,"5,192",82.37,177,17.22,30,11.11,117,23.16,30,76.47,23,...,111,...,1,...,936,22.03,628,-2.94
1998,"14,555",-3.70,670,-6.69,47,20.51,159,26.19,"1,092",15.56,461,6.71,"1,644",-12.65,"2,623",-1.50,886,0.91,130,-21.21,46,109.09,"4,609",-11.23,187,5.65,43,43.33,102,-12.82,12,-60.00,208,804.35,175,57.66,18,"1,700.00",884,-5.56,559,-10.99
1999,"18,254",25.41,792,18.21,53,12.77,233,46.54,904,-17.22,874,89.59,"2,644",60.83,"2,493",-4.96,967,9.14,154,18.46,26,-43.48,"6,941",50.60,246,31.55,43,0.00,109,6.86,23,91.67,137,-34.13,212,21.14,47,161.11,641,-27.49,715,27.91
2000,"15,560",-14.76,"1,004",26.77,79,49.06,142,-39.06,742,-17.92,388,-55.61,"2,271",-14.11,"2,201",-11.71,801,-17.17,137,-11.04,18,-30.77,"5,466",-21.25,245,-0.41,42,-2.33,75,-31.19,28,21.74,253,84.67,196,-7.55,5,-89.36,620,-3.28,847,18.46
