期間,總人口數_原始值,總人口數_年增率(%),0~4歲_原始值,0~4歲_年增率(%),5~9歲_原始值,5~9歲_年增率(%),10~14歲_原始值,10~14歲_年增率(%),15~19歲_原始值,15~19歲_年增率(%),20~24歲_原始值,20~24歲_年增率(%),25~29歲_原始值,25~29歲_年增率(%),30~34歲_原始值,30~34歲_年增率(%),35~39歲_原始值,35~39歲_年增率(%),40~44歲_原始值,40~44歲_年增率(%),45~49歲_原始值,45~49歲_年增率(%),50~54歲_原始值,50~54歲_年增率(%),55~59歲_原始值,55~59歲_年增率(%),60~64歲_原始值,60~64歲_年增率(%),65~69歲_原始值,65~69歲_年增率(%),70~74歲_原始值,70~74歲_年增率(%),75~79歲_原始值,75~79歲_年增率(%),80~84歲_原始值,80~84歲_年增率(%),85~89歲_原始值,85~89歲_年增率(%),90~94歲_原始值,90~94歲_年增率(%),95~99歲_原始值,95~99歲_年增率(%),100歲以上_原始值,100歲以上_年增率(%),平均年齡(歲)_原始值,平均年齡(歲)_年增率(%)
2002M01,"421,546",...,"33,919",...,"38,986",...,"35,770",...,"38,858",...,"40,231",...,"36,067",...,"35,818",...,"37,244",...,"33,458",...,"26,427",...,"18,032",...,"11,311",...,"11,455",...,"9,622",...,"7,031",...,"4,182",...,"2,044",...,819,...,221,...,38,...,13,...,30.13,...
2002M02,"422,580",...,"33,888",...,"39,102",...,"35,977",...,"38,805",...,"40,386",...,"36,161",...,"35,828",...,"37,274",...,"33,588",...,"26,554",...,"18,225",...,"11,283",...,"11,477",...,"9,630",...,"7,058",...,"4,200",...,"2,055",...,819,...,217,...,40,...,13,...,30.14,...
2002M03,"423,655",...,"33,856",...,"39,253",...,"36,154",...,"38,802",...,"40,460",...,"36,244",...,"35,788",...,"37,338",...,"33,767",...,"26,697",...,"18,387",...,"11,304",...,"11,486",...,"9,667",...,"7,079",...,"4,229",...,"2,054",...,823,...,212,...,42,...,13,...,30.16,...
2002M04,"424,494",...,"33,865",...,"39,286",...,"36,317",...,"38,790",...,"40,544",...,"36,301",...,"35,687",...,"37,367",...,"33,948",...,"26,855",...,"18,487",...,"11,354",...,"11,502",...,"9,681",...,"7,107",...,"4,241",...,"2,064",...,830,...,212,...,43,...,13,...,30.18,...
2002M05,"425,453",...,"33,838",...,"39,329",...,"36,445",...,"38,818",...,"40,595",...,"36,352",...,"35,728",...,"37,300",...,"34,116",...,"27,094",...,"18,586",...,"11,411",...,"11,567",...,"9,703",...,"7,149",...,"4,259",...,"2,066",...,828,...,210,...,44,...,15,...,30.20,...
2002M06,"426,674",...,"33,748",...,"39,461",...,"36,575",...,"38,860",...,"40,668",...,"36,434",...,"35,800",...,"37,261",...,"34,237",...,"27,331",...,"18,687",...,"11,550",...,"11,697",...,"9,736",...,"7,184",...,"4,269",...,"2,075",...,826,...,217,...,43,...,15,...,30.24,...
2002M07,"427,907",...,"33,726",...,"39,535",...,"36,788",...,"38,867",...,"40,756",...,"36,586",...,"35,794",...,"37,300",...,"34,335",...,"27,561",...,"18,818",...,"11,651",...,"11,737",...,"9,770",...,"7,177",...,"4,301",...,"2,096",...,831,...,219,...,44,...,15,...,30.27,...
2002M08,"429,534",...,"33,699",...,"39,635",...,"37,162",...,"38,912",...,"40,891",...,"36,694",...,"35,846",...,"37,355",...,"34,484",...,"27,761",...,"18,985",...,"11,771",...,"11,784",...,"9,801",...,"7,221",...,"4,315",...,"2,115",...,820,...,224,...,44,...,15,...,30.29,...
2002M09,"430,822",...,"33,715",...,"39,696",...,"37,502",...,"38,780",...,"41,037",...,"36,807",...,"35,885",...,"37,441",...,"34,532",...,"27,997",...,"19,095",...,"11,870",...,"11,815",...,"9,839",...,"7,238",...,"4,342",...,"2,123",...,817,...,232,...,44,...,15,...,30.30,...
2002M10,"431,881",...,"33,690",...,"39,820",...,"37,655",...,"38,570",...,"41,287",...,"36,879",...,"35,968",...,"37,421",...,"34,616",...,"28,171",...,"19,224",...,"11,936",...,"11,893",...,"9,881",...,"7,266",...,"4,352",...,"2,118",...,834,...,242,...,43,...,15,...,30.33,...
