期間,識字率(%)_原始值,識字率(%)_年增率(%),識字率(%)_原始值,識字率(%)_年增率(%),識字率(%)_原始值,識字率(%)_年增率(%),不識字率(%)_原始值,不識字率(%)_年增率(%),不識字率(%)_原始值,不識字率(%)_年增率(%),不識字率(%)_原始值,不識字率(%)_年增率(%),戶籍登記15歲以上人口_原始值,戶籍登記15歲以上人口_年增率(%),戶籍登記15歲以上人口_原始值,戶籍登記15歲以上人口_年增率(%),戶籍登記15歲以上人口_原始值,戶籍登記15歲以上人口_年增率(%),戶籍登記15歲以上人口-識字_原始值,戶籍登記15歲以上人口-識字_年增率(%),戶籍登記15歲以上人口-識字_原始值,戶籍登記15歲以上人口-識字_年增率(%),戶籍登記15歲以上人口-識字_原始值,戶籍登記15歲以上人口-識字_年增率(%),研究所_原始值,研究所_年增率(%),研究所_原始值,研究所_年增率(%),研究所_原始值,研究所_年增率(%),戶籍登記15歲以上人口-研究所畢業_原始值,戶籍登記15歲以上人口-研究所畢業_年增率(%),戶籍登記15歲以上人口-研究所畢業_原始值,戶籍登記15歲以上人口-研究所畢業_年增率(%),戶籍登記15歲以上人口-研究所畢業_原始值,戶籍登記15歲以上人口-研究所畢業_年增率(%),戶籍登記15歲以上人口-研究所肄業_原始值,戶籍登記15歲以上人口-研究所肄業_年增率(%),戶籍登記15歲以上人口-研究所肄業_原始值,戶籍登記15歲以上人口-研究所肄業_年增率(%),戶籍登記15歲以上人口-研究所肄業_原始值,戶籍登記15歲以上人口-研究所肄業_年增率(%),大學學院_原始值,大學學院_年增率(%),大學學院_原始值,大學學院_年增率(%),大學學院_原始值,大學學院_年增率(%),戶籍登記15歲以上人口-大學學院畢業_原始值,戶籍登記15歲以上人口-大學學院畢業_年增率(%),戶籍登記15歲以上人口-大學學院畢業_原始值,戶籍登記15歲以上人口-大學學院畢業_年增率(%),戶籍登記15歲以上人口-大學學院畢業_原始值,戶籍登記15歲以上人口-大學學院畢業_年增率(%),戶籍登記15歲以上人口-大學學院肄業_原始值,戶籍登記15歲以上人口-大學學院肄業_年增率(%),戶籍登記15歲以上人口-大學學院肄業_原始值,戶籍登記15歲以上人口-大學學院肄業_年增率(%),戶籍登記15歲以上人口-大學學院肄業_原始值,戶籍登記15歲以上人口-大學學院肄業_年增率(%),二、三年制專科_原始值,二、三年制專科_年增率(%),二、三年制專科_原始值,二、三年制專科_年增率(%),二、三年制專科_原始值,二、三年制專科_年增率(%),戶籍登記15歲以上人口-二、三年制專科畢業_原始值,戶籍登記15歲以上人口-二、三年制專科畢業_年增率(%),戶籍登記15歲以上人口-二、三年制專科畢業_原始值,戶籍登記15歲以上人口-二、三年制專科畢業_年增率(%),戶籍登記15歲以上人口-二、三年制專科畢業_原始值,戶籍登記15歲以上人口-二、三年制專科畢業_年增率(%),戶籍登記15歲以上人口-二、三年制專科肄業_原始值,戶籍登記15歲以上人口-二、三年制專科肄業_年增率(%),戶籍登記15歲以上人口-二、三年制專科肄業_原始值,戶籍登記15歲以上人口-二、三年制專科肄業_年增率(%),戶籍登記15歲以上人口-二、三年制專科肄業_原始值,戶籍登記15歲以上人口-二、三年制專科肄業_年增率(%),五年制後二年專科_原始值,五年制後二年專科_年增率(%),五年制後二年專科_原始值,五年制後二年專科_年增率(%),五年制後二年專科_原始值,五年制後二年專科_年增率(%),戶籍登記15歲以上人口-五年制後二年專科畢業_原始值,戶籍登記15歲以上人口-五年制後二年專科畢業_年增率(%),戶籍登記15歲以上人口-五年制後二年專科畢業_原始值,戶籍登記15歲以上人口-五年制後二年專科畢業_年增率(%),戶籍登記15歲以上人口-五年制後二年專科畢業_原始值,戶籍登記15歲以上人口-五年制後二年專科畢業_年增率(%),戶籍登記15歲以上人口-五年制後二年專科肄業_原始值,戶籍登記15歲以上人口-五年制後二年專科肄業_年增率(%),戶籍登記15歲以上人口-五年制後二年專科肄業_原始值,戶籍登記15歲以上人口-五年制後二年專科肄業_年增率(%),戶籍登記15歲以上人口-五年制後二年專科肄業_原始值,戶籍登記15歲以上人口-五年制後二年專科肄業_年增率(%),戶籍登記15歲以上人口-五年制前三年專科肄業_原始值,戶籍登記15歲以上人口-五年制前三年專科肄業_年增率(%),戶籍登記15歲以上人口-五年制前三年專科肄業_原始值,戶籍登記15歲以上人口-五年制前三年專科肄業_年增率(%),戶籍登記15歲以上人口-五年制前三年專科肄業_原始值,戶籍登記15歲以上人口-五年制前三年專科肄業_年增率(%),高中、高職_原始值,高中、高職_年增率(%),高中、高職_原始值,高中、高職_年增率(%),高中、高職_原始值,高中、高職_年增率(%),戶籍登記15歲以上人口-高中畢業_原始值,戶籍登記15歲以上人口-高中畢業_年增率(%),戶籍登記15歲以上人口-高中畢業_原始值,戶籍登記15歲以上人口-高中畢業_年增率(%),戶籍登記15歲以上人口-高中畢業_原始值,戶籍登記15歲以上人口-高中畢業_年增率(%),戶籍登記15歲以上人口-高中肄業_原始值,戶籍登記15歲以上人口-高中肄業_年增率(%),戶籍登記15歲以上人口-高中肄業_原始值,戶籍登記15歲以上人口-高中肄業_年增率(%),戶籍登記15歲以上人口-高中肄業_原始值,戶籍登記15歲以上人口-高中肄業_年增率(%),戶籍登記15歲以上人口-高職畢業_原始值,戶籍登記15歲以上人口-高職畢業_年增率(%),戶籍登記15歲以上人口-高職畢業_原始值,戶籍登記15歲以上人口-高職畢業_年增率(%),戶籍登記15歲以上人口-高職畢業_原始值,戶籍登記15歲以上人口-高職畢業_年增率(%),戶籍登記15歲以上人口-高職肄業_原始值,戶籍登記15歲以上人口-高職肄業_年增率(%),戶籍登記15歲以上人口-高職肄業_原始值,戶籍登記15歲以上人口-高職肄業_年增率(%),戶籍登記15歲以上人口-高職肄業_原始值,戶籍登記15歲以上人口-高職肄業_年增率(%),國中、初職_原始值,國中、初職_年增率(%),國中、初職_原始值,國中、初職_年增率(%),國中、初職_原始值,國中、初職_年增率(%),戶籍登記15歲以上人口-國中畢業_原始值,戶籍登記15歲以上人口-國中畢業_年增率(%),戶籍登記15歲以上人口-國中畢業_原始值,戶籍登記15歲以上人口-國中畢業_年增率(%),戶籍登記15歲以上人口-國中畢業_原始值,戶籍登記15歲以上人口-國中畢業_年增率(%),戶籍登記15歲以上人口-國中肄業_原始值,戶籍登記15歲以上人口-國中肄業_年增率(%),戶籍登記15歲以上人口-國中肄業_原始值,戶籍登記15歲以上人口-國中肄業_年增率(%),戶籍登記15歲以上人口-國中肄業_原始值,戶籍登記15歲以上人口-國中肄業_年增率(%),戶籍登記15歲以上人口-初職畢業_原始值,戶籍登記15歲以上人口-初職畢業_年增率(%),戶籍登記15歲以上人口-初職畢業_原始值,戶籍登記15歲以上人口-初職畢業_年增率(%),戶籍登記15歲以上人口-初職畢業_原始值,戶籍登記15歲以上人口-初職畢業_年增率(%),戶籍登記15歲以上人口-初職肄業_原始值,戶籍登記15歲以上人口-初職肄業_年增率(%),戶籍登記15歲以上人口-初職肄業_原始值,戶籍登記15歲以上人口-初職肄業_年增率(%),戶籍登記15歲以上人口-初職肄業_原始值,戶籍登記15歲以上人口-初職肄業_年增率(%),國小_原始值,國小_年增率(%),國小_原始值,國小_年增率(%),國小_原始值,國小_年增率(%),戶籍登記15歲以上人口-國小畢業_原始值,戶籍登記15歲以上人口-國小畢業_年增率(%),戶籍登記15歲以上人口-國小畢業_原始值,戶籍登記15歲以上人口-國小畢業_年增率(%),戶籍登記15歲以上人口-國小畢業_原始值,戶籍登記15歲以上人口-國小畢業_年增率(%),戶籍登記15歲以上人口-國小肄業_原始值,戶籍登記15歲以上人口-國小肄業_年增率(%),戶籍登記15歲以上人口-國小肄業_原始值,戶籍登記15歲以上人口-國小肄業_年增率(%),戶籍登記15歲以上人口-國小肄業_原始值,戶籍登記15歲以上人口-國小肄業_年增率(%),戶籍登記15歲以上人口-自修_原始值,戶籍登記15歲以上人口-自修_年增率(%),戶籍登記15歲以上人口-自修_原始值,戶籍登記15歲以上人口-自修_年增率(%),戶籍登記15歲以上人口-自修_原始值,戶籍登記15歲以上人口-自修_年增率(%),戶籍登記15歲以上人口-不識字_原始值,戶籍登記15歲以上人口-不識字_年增率(%),戶籍登記15歲以上人口-不識字_原始值,戶籍登記15歲以上人口-不識字_年增率(%),戶籍登記15歲以上人口-不識字_原始值,戶籍登記15歲以上人口-不識字_年增率(%)
1997,94.66,-,98.09,-,91.07,-,5.34,-,1.91,-,8.93,-,"16,828,535",...,"8,610,129",...,"8,218,406",...,"15,930,382",...,"8,445,588",...,"7,484,794",...,"116,247",...,"84,756",...,"31,491",...,"83,817",...,"62,161",...,"21,656",...,"32,430",...,"22,595",...,"9,835",...,"1,146,902",...,"683,194",...,"463,708",...,"800,934",...,"486,603",...,"314,331",...,"345,968",...,"196,591",...,"149,377",...,"755,120",...,"408,839",...,"346,281",...,"561,910",...,"310,426",...,"251,484",...,"193,210",...,"98,413",...,"94,797",...,"673,416",...,"384,301",...,"289,115",...,"497,214",...,"280,755",...,"216,459",...,"176,202",...,"103,546",...,"72,656",...,"65,244",...,"33,606",...,"31,638",...,"1,519,287",...,"835,591",...,"683,696",...,"987,149",...,"537,231",...,"449,918",...,"532,138",...,"298,360",...,"233,778",...,"2,623,769",...,"1,339,653",...,"1,284,116",...,"934,441",...,"507,105",...,"427,336",...,"4,011,465",...,"2,185,990",...,"1,825,475",...,"3,239,475",...,"1,734,378",...,"1,505,097",...,"771,990",...,"451,612",...,"320,378",...,"62,276",...,"41,258",...,"21,018",...,"23,218",...,"17,048",...,"6,170",...,"3,865,946",...,"1,851,327",...,"2,014,619",...,"2,937,402",...,"1,440,490",...,"1,496,912",...,"928,544",...,"410,837",...,"517,707",...,"133,051",...,"72,920",...,"60,131",...,"898,153",...,"164,541",...,"733,612",...
1998,94.92,-,98.23,-,91.46,-,5.08,-,1.77,-,8.54,-,"17,113,191",1.69,"8,739,376",1.50,"8,373,815",1.89,"16,243,566",1.97,"8,584,584",1.65,"7,658,982",2.33,"139,008",19.58,"100,038",18.03,"38,970",23.75,"109,580",30.74,"79,902",28.54,"29,678",37.04,"29,428",-9.26,"20,136",-10.88,"9,292",-5.52,"1,195,972",4.28,"703,664",3.00,"492,308",6.17,"858,971",7.25,"512,803",5.38,"346,168",10.13,"337,001",-2.59,"190,861",-2.91,"146,140",-2.17,"808,016",7.00,"428,877",4.90,"379,139",9.49,"631,744",12.43,"338,445",9.03,"293,299",16.63,"176,272",-8.77,"90,432",-8.11,"85,840",-9.45,"665,595",-1.16,"381,120",-0.83,"284,475",-1.60,"505,218",1.61,"284,896",1.47,"220,322",1.78,"160,377",-8.98,"96,224",-7.07,"64,153",-11.70,"57,443",-11.96,"29,304",-12.80,"28,139",-11.06,"1,376,064",-9.43,"763,282",-8.65,"612,782",-10.37,"910,966",-7.72,"498,157",-7.27,"412,809",-8.25,"465,098",-12.60,"265,125",-11.14,"199,973",-14.46,"2,614,747",-0.34,"1,322,407",-1.29,"1,292,340",0.64,"853,244",-8.69,"468,088",-7.69,"385,156",-9.87,"4,046,325",0.87,"2,217,710",1.45,"1,828,615",0.17,"2,883,595",-10.99,"1,556,979",-10.23,"1,326,616",-11.86,"1,162,730",50.61,"660,731",46.31,"501,999",56.69,"61,409",-1.39,"40,489",-1.86,"20,920",-0.47,"23,131",-0.37,"16,843",-1.20,"6,288",1.91,"4,273,340",10.54,"2,043,029",10.35,"2,230,311",10.71,"2,947,574",0.35,"1,425,589",-1.03,"1,521,985",1.67,"1,325,766",42.78,"617,440",50.29,"708,326",36.82,"129,272",-2.84,"69,733",-4.37,"59,539",-0.98,"869,625",-3.18,"154,792",-5.92,"714,833",-2.56
1999,95.28,-,98.40,-,92.04,-,4.72,-,1.60,-,7.96,-,"17,357,791",1.43,"8,848,983",1.25,"8,508,808",1.61,"16,538,704",1.82,"8,707,014",1.43,"7,831,690",2.25,"170,969",22.99,"121,250",21.20,"49,719",27.58,"141,810",29.41,"101,947",27.59,"39,863",34.32,"29,159",-0.91,"19,303",-4.14,"9,856",6.07,"1,306,419",9.23,"757,206",7.61,"549,213",11.56,"969,896",12.91,"569,076",10.97,"400,820",15.79,"336,523",-0.14,"188,130",-1.43,"148,393",1.54,"934,049",15.60,"489,674",14.18,"444,375",17.21,"753,572",19.28,"399,238",17.96,"354,334",20.81,"180,477",2.39,"90,436",0.00,"90,041",4.89,"696,426",4.63,"397,696",4.35,"298,730",5.01,"553,614",9.58,"312,237",9.60,"241,377",9.56,"142,812",-10.95,"85,459",-11.19,"57,353",-10.60,"63,620",10.75,"32,504",10.92,"31,116",10.58,"1,439,923",4.64,"794,513",4.09,"645,410",5.32,"1,021,156",12.10,"552,463",10.90,"468,693",13.54,"418,767",-9.96,"242,050",-8.70,"176,717",-11.63,"2,963,323",13.33,"1,494,249",12.99,"1,469,074",13.68,"791,266",-7.26,"440,963",-5.79,"350,303",-9.05,"4,005,371",-1.01,"2,189,597",-1.27,"1,815,774",-0.70,"3,113,588",7.98,"1,672,191",7.40,"1,441,397",8.65,"891,783",-23.30,"517,406",-21.69,"374,377",-25.42,"62,799",2.26,"41,010",1.29,"21,789",4.15,"23,269",0.60,"16,879",0.21,"6,390",1.62,"3,957,462",-7.39,"1,866,008",-8.66,"2,091,454",-6.23,"2,882,015",-2.22,"1,383,192",-2.97,"1,498,823",-1.52,"1,075,447",-18.88,"482,816",-21.80,"592,631",-16.33,"123,808",-4.23,"65,465",-6.12,"58,343",-2.01,"819,087",-5.81,"141,969",-8.28,"677,118",-5.28
2000,95.55,-,98.51,-,92.49,-,4.45,-,1.49,-,7.51,-,"17,573,579",1.24,"8,942,419",1.06,"8,631,160",1.44,"16,792,111",1.53,"8,809,446",1.18,"7,982,665",1.93,"218,758",27.95,"153,286",26.42,"65,472",31.68,"174,257",22.88,"124,288",21.91,"49,969",25.35,"44,501",52.61,"28,998",50.23,"15,503",57.30,"1,517,052",16.12,"851,864",12.50,"665,188",21.12,"1,096,944",13.10,"626,114",10.02,"470,830",17.47,"420,108",24.84,"225,750",20.00,"194,358",30.98,"1,137,644",21.80,"584,179",19.30,"553,465",24.55,"900,750",19.53,"462,788",15.92,"437,962",23.60,"236,894",31.26,"121,391",34.23,"115,503",28.28,"714,279",2.56,"406,370",2.18,"307,909",3.07,"597,826",7.99,"334,974",7.28,"262,852",8.90,"116,453",-18.46,"71,396",-16.46,"45,057",-21.44,"83,057",30.55,"42,193",29.81,"40,864",31.33,"1,479,072",2.72,"814,478",2.51,"664,594",2.97,"1,025,283",0.40,"555,431",0.54,"469,852",0.25,"453,789",8.36,"259,047",7.02,"194,742",10.20,"3,093,856",4.40,"1,561,489",4.50,"1,532,367",4.31,"852,995",7.80,"478,109",8.42,"374,886",7.02,"3,734,898",-6.75,"2,043,391",-6.68,"1,691,507",-6.84,"2,991,010",-3.94,"1,606,386",-3.94,"1,384,624",-3.94,"743,888",-16.58,"437,005",-15.54,"306,883",-18.03,"62,482",-0.50,"40,606",-0.99,"21,876",0.40,"23,005",-1.13,"16,674",-1.21,"6,331",-0.92,"3,755,520",-5.10,"1,754,702",-5.96,"2,000,818",-4.33,"2,824,444",-2.00,"1,348,157",-2.53,"1,476,287",-1.50,"931,076",-13.42,"406,545",-15.80,"524,531",-11.49,"119,493",-3.49,"62,105",-5.13,"57,388",-1.64,"781,468",-4.59,"132,973",-6.34,"648,495",-4.23
2001,95.79,-,98.63,-,92.87,-,4.21,-,1.37,-,7.13,-,"17,743,684",0.97,"9,012,486",0.78,"8,731,198",1.16,"16,997,026",1.22,"8,888,573",0.90,"8,108,453",1.58,"273,541",25.04,"189,942",23.91,"83,599",27.69,"205,933",18.18,"145,697",17.23,"60,236",20.55,"67,608",51.92,"44,245",52.58,"23,363",50.70,"1,765,689",16.39,"966,067",13.41,"799,622",20.21,"1,207,735",10.10,"675,687",7.92,"532,048",13.00,"557,954",32.81,"290,380",28.63,"267,574",37.67,"1,314,996",15.59,"662,631",13.43,"652,365",17.87,"1,004,431",11.51,"506,861",9.52,"497,570",13.61,"310,565",31.10,"155,770",28.32,"154,795",34.02,"717,207",0.41,"405,823",-0.13,"311,384",1.13,"615,322",2.93,"342,586",2.27,"272,736",3.76,"101,885",-12.51,"63,237",-11.43,"38,648",-14.22,"101,943",22.74,"48,805",15.67,"53,138",30.04,"1,513,380",2.32,"829,518",1.85,"683,862",2.90,"1,006,890",-1.79,"545,478",-1.79,"461,412",-1.80,"506,490",11.61,"284,040",9.65,"222,450",14.23,"3,145,846",1.68,"1,595,352",2.17,"1,550,494",1.18,"920,108",7.87,"518,243",8.39,"401,865",7.20,"3,406,085",-8.80,"1,871,548",-8.41,"1,534,537",-9.28,"2,755,242",-7.88,"1,485,288",-7.54,"1,269,954",-8.28,"650,843",-12.51,"386,260",-11.61,"264,583",-13.78,"62,369",-0.18,"40,206",-0.99,"22,163",1.31,"23,081",0.33,"16,581",-0.56,"6,500",2.67,"3,637,952",-3.13,"1,685,285",-3.96,"1,952,667",-2.41,"2,775,169",-1.74,"1,315,575",-2.42,"1,459,594",-1.13,"862,783",-7.33,"369,710",-9.06,"493,073",-6.00,"114,829",-3.90,"58,572",-5.69,"56,257",-1.97,"746,658",-4.45,"123,913",-6.81,"622,745",-3.97
2002,96.03,-,98.73,-,93.26,-,3.97,-,1.27,-,6.74,-,"17,921,884",1.00,"9,088,217",0.84,"8,833,667",1.17,"17,210,709",1.26,"8,972,791",0.95,"8,237,918",1.60,"329,373",20.41,"225,972",18.97,"103,401",23.69,"240,068",16.58,"168,473",15.63,"71,595",18.86,"89,305",32.09,"57,499",29.96,"31,806",36.14,"2,013,973",14.06,"1,081,496",11.95,"932,477",16.61,"1,326,570",9.84,"730,667",8.14,"595,903",12.00,"687,403",23.20,"350,829",20.82,"336,574",25.79,"1,438,285",9.38,"716,444",8.12,"721,841",10.65,"1,095,595",9.08,"542,921",7.11,"552,674",11.07,"342,690",10.34,"173,523",11.40,"169,167",9.28,"717,567",0.05,"403,866",-0.48,"313,701",0.74,"626,205",1.77,"346,850",1.24,"279,355",2.43,"91,362",-10.33,"57,016",-9.84,"34,346",-11.13,"106,866",4.83,"49,228",0.87,"57,638",8.47,"1,542,280",1.91,"842,215",1.53,"700,065",2.37,"986,229",-2.05,"536,291",-1.68,"449,938",-2.49,"556,051",9.79,"305,924",7.70,"250,127",12.44,"3,180,579",1.10,"1,617,841",1.41,"1,562,738",0.79,"963,605",4.73,"545,923",5.34,"417,682",3.94,"3,170,015",-6.93,"1,747,139",-6.65,"1,422,876",-7.28,"2,578,125",-6.43,"1,394,004",-6.15,"1,184,121",-6.76,"591,890",-9.06,"353,135",-8.58,"238,755",-9.76,"62,053",-0.51,"39,729",-1.19,"22,324",0.73,"22,793",-1.25,"16,298",-1.71,"6,495",-0.08,"3,551,461",-2.38,"1,631,366",-3.20,"1,920,095",-1.67,"2,729,289",-1.65,"1,284,481",-2.36,"1,444,808",-1.01,"822,172",-4.71,"346,885",-6.17,"475,287",-3.61,"111,859",-2.59,"55,274",-5.63,"56,585",0.58,"711,175",-4.75,"115,426",-6.85,"595,749",-4.34
2003,96.97,-,99.15,-,94.74,-,3.03,-,0.85,-,5.26,-,"18,122,930",1.12,"9,177,897",0.99,"8,945,033",1.26,"17,574,363",2.11,"9,099,437",1.41,"8,474,926",2.88,"456,830",38.70,"307,360",36.02,"149,470",44.55,"342,750",42.77,"236,896",40.61,"105,854",47.85,"114,080",27.74,"70,464",22.55,"43,616",37.13,"2,431,324",20.72,"1,283,608",18.69,"1,147,716",23.08,"1,698,808",28.06,"917,900",25.62,"780,908",31.05,"732,516",6.56,"365,708",4.24,"366,808",8.98,"1,371,198",-4.66,"674,655",-5.83,"696,543",-3.50,"1,081,324",-1.30,"526,476",-3.03,"554,848",0.39,"289,874",-15.41,"148,179",-14.61,"141,695",-16.24,"1,079,267",50.41,"600,996",48.81,"478,271",52.46,"993,738",58.69,"551,615",59.04,"442,123",58.27,"85,529",-6.38,"49,381",-13.39,"36,148",5.25,"102,774",-3.83,"43,484",-11.67,"59,290",2.87,"1,743,634",13.06,"946,336",12.36,"797,298",13.89,"1,217,224",23.42,"660,771",23.21,"556,453",23.67,"526,410",-5.33,"285,565",-6.65,"240,845",-3.71,"3,456,138",8.66,"1,758,218",8.68,"1,697,920",8.65,"794,478",-17.55,"458,447",-16.02,"336,031",-19.55,"2,782,574",-12.22,"1,523,268",-12.81,"1,259,306",-11.50,"2,408,323",-6.59,"1,305,539",-6.35,"1,102,784",-6.87,"374,251",-36.77,"217,729",-38.34,"156,522",-34.44,"44,874",-27.68,"28,081",-29.32,"16,793",-24.78,"10,631",-53.36,"7,778",-52.28,"2,853",-56.07,"3,205,200",-9.75,"1,429,834",-12.35,"1,775,366",-7.54,"2,775,955",1.71,"1,266,154",-1.43,"1,509,801",4.50,"429,245",-47.79,"163,680",-52.81,"265,565",-44.13,"95,441",-14.68,"37,372",-32.39,"58,069",2.62,"548,567",-22.86,"78,460",-32.03,"470,107",-21.09
2004,97.16,-,99.22,-,95.05,-,2.84,-,0.78,-,4.95,-,"18,302,040",0.99,"9,252,754",0.82,"9,049,286",1.17,"17,781,457",1.18,"9,180,356",0.89,"8,601,101",1.49,"511,596",11.99,"341,540",11.12,"170,056",13.77,"376,736",9.92,"258,753",9.23,"117,983",11.46,"134,860",18.22,"82,787",17.49,"52,073",19.39,"2,627,796",8.08,"1,373,306",6.99,"1,254,490",9.30,"1,838,602",8.23,"976,393",6.37,"862,209",10.41,"789,194",7.74,"396,913",8.53,"392,281",6.94,"1,394,231",1.68,"686,427",1.74,"707,804",1.62,"1,120,837",3.65,"542,217",2.99,"578,620",4.28,"273,394",-5.69,"144,210",-2.68,"129,184",-8.83,"1,051,393",-2.58,"583,657",-2.89,"467,736",-2.20,"976,117",-1.77,"539,656",-2.17,"436,461",-1.28,"75,276",-11.99,"44,001",-10.89,"31,275",-13.48,"108,023",5.11,"43,074",-0.94,"64,949",9.54,"1,757,868",0.82,"948,984",0.28,"808,884",1.45,"1,222,243",0.41,"660,389",-0.06,"561,854",0.97,"535,625",1.75,"288,595",1.06,"247,030",2.57,"3,477,546",0.62,"1,769,583",0.65,"1,707,963",0.59,"795,610",0.14,"463,938",1.20,"331,672",-1.30,"2,767,188",-0.55,"1,509,758",-0.89,"1,257,430",-0.15,"2,399,357",-0.37,"1,296,660",-0.68,"1,102,697",-0.01,"367,831",-1.72,"213,098",-2.13,"154,733",-1.14,"44,115",-1.69,"27,405",-2.41,"16,710",-0.49,"10,454",-1.66,"7,638",-1.80,"2,816",-1.30,"3,143,518",-1.92,"1,389,902",-2.79,"1,753,616",-1.23,"2,722,659",-1.92,"1,231,188",-2.76,"1,491,471",-1.21,"420,859",-1.95,"158,714",-3.03,"262,145",-1.29,"92,119",-3.48,"35,144",-5.96,"56,975",-1.88,"520,583",-5.10,"72,398",-7.73,"448,185",-4.66
2005,97.33,-,99.29,-,95.34,-,2.67,-,0.71,-,4.66,-,"18,511,334",1.14,"9,341,283",0.96,"9,170,051",1.33,"18,016,953",1.32,"9,274,594",1.03,"8,742,359",1.64,"574,967",12.39,"379,864",11.22,"195,103",14.73,"421,556",11.90,"286,850",10.86,"134,706",14.17,"153,411",13.76,"93,014",12.35,"60,397",15.99,"2,825,573",7.53,"1,461,615",6.43,"1,363,958",8.73,"2,009,899",9.32,"1,046,054",7.13,"963,845",11.79,"815,674",3.36,"415,561",4.70,"400,113",2.00,"1,410,710",1.18,"695,092",1.26,"715,618",1.10,"1,159,600",3.46,"558,104",2.93,"601,496",3.95,"251,110",-8.15,"136,988",-5.01,"114,122",-11.66,"1,032,618",-1.79,"571,559",-2.07,"461,059",-1.43,"964,041",-1.24,"531,102",-1.59,"432,939",-0.81,"68,577",-8.90,"40,457",-8.05,"28,120",-10.09,"102,303",-5.30,"38,171",-11.38,"64,132",-1.26,"1,793,845",2.05,"964,433",1.63,"829,412",2.54,"1,238,134",1.30,"664,720",0.66,"573,414",2.06,"555,711",3.75,"299,713",3.85,"255,998",3.63,"3,490,381",0.37,"1,777,621",0.45,"1,712,760",0.28,"820,155",3.09,"480,452",3.56,"339,703",2.42,"2,743,206",-0.87,"1,491,212",-1.23,"1,251,994",-0.43,"2,369,167",-1.26,"1,275,920",-1.60,"1,093,247",-0.86,"374,039",1.69,"215,292",1.03,"158,747",2.59,"43,281",-1.89,"26,670",-2.68,"16,611",-0.59,"10,244",-2.01,"7,463",-2.29,"2,781",-1.24,"3,080,237",-2.01,"1,347,442",-3.05,"1,732,795",-1.19,"2,673,418",-1.81,"1,197,505",-2.74,"1,475,913",-1.04,"406,819",-3.34,"149,937",-5.53,"256,882",-2.01,"89,433",-2.92,"33,000",-6.10,"56,433",-0.95,"494,381",-5.03,"66,689",-7.89,"427,692",-4.57
2006,97.48,-,99.34,-,95.60,-,2.52,-,0.66,-,4.40,-,"18,730,896",1.19,"9,430,527",0.96,"9,300,369",1.42,"18,259,531",1.35,"9,368,623",1.01,"8,890,908",1.70,"648,675",12.82,"424,680",11.80,"223,995",14.81,"471,812",11.92,"317,993",10.86,"153,819",14.19,"176,863",15.29,"106,687",14.70,"70,176",16.19,"3,039,408",7.57,"1,559,285",6.68,"1,480,123",8.52,"2,172,164",8.07,"1,112,050",6.31,"1,060,114",9.99,"867,244",6.32,"447,235",7.62,"420,009",4.97,"1,415,146",0.31,"700,355",0.76,"714,791",-0.12,"1,169,906",0.89,"563,230",0.92,"606,676",0.86,"245,240",-2.34,"137,125",0.10,"108,115",-5.26,"1,014,300",-1.77,"559,029",-2.19,"455,271",-1.26,"949,803",-1.48,"520,686",-1.96,"429,117",-0.88,"64,497",-5.95,"38,343",-5.23,"26,154",-6.99,"98,208",-4.00,"34,554",-9.48,"63,654",-0.75,"1,819,027",1.40,"971,310",0.71,"847,717",2.21,"1,243,839",0.46,"662,503",-0.33,"581,336",1.38,"575,188",3.50,"308,807",3.03,"266,381",4.06,"3,505,643",0.44,"1,782,416",0.27,"1,723,227",0.61,"842,062",2.67,"495,979",3.23,"346,083",1.88,"2,710,373",-1.20,"1,466,673",-1.65,"1,243,700",-0.66,"2,353,744",-0.65,"1,261,604",-1.12,"1,092,140",-0.10,"356,629",-4.65,"205,069",-4.75,"151,560",-4.53,"42,455",-1.91,"25,913",-2.84,"16,542",-0.42,"10,037",-2.02,"7,275",-2.52,"2,762",-0.68,"3,028,301",-1.69,"1,310,249",-2.76,"1,718,052",-0.85,"2,631,145",-1.58,"1,166,626",-2.58,"1,464,519",-0.77,"397,156",-2.38,"143,623",-4.21,"253,533",-1.30,"85,896",-3.95,"30,905",-6.35,"54,991",-2.56,"471,365",-4.66,"61,904",-7.18,"409,461",-4.26
