期間,總入境人數(人次)_原始值,總入境人數(人次)_年增率(%),男性_原始值,男性_年增率(%),女性_原始值,女性_年增率(%),0 - 14 歲_原始值,0 - 14 歲_年增率(%),15 - 64歲_原始值,15 - 64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),本國人民 (含金馬地區)_原始值,本國人民 (含金馬地區)_年增率(%),大陸地區人民_原始值,大陸地區人民_年增率(%),香港澳門居民_原始值,香港澳門居民_年增率(%),本國無戶籍國民_原始值,本國無戶籍國民_年增率(%),外國人_原始值,外國人_年增率(%)
1992,"6,110,016",...,"3,674,608",...,"2,435,408",...,"324,639",...,"5,349,594",...,"435,783",...,"4,223,951",...,"12,953",...,...,...,"223,386",...,"1,649,726",...
1993,"6,499,997",6.38,"3,942,898",7.30,"2,557,099",5.00,"351,655",8.32,"5,707,888",6.70,"451,162",3.53,"4,633,444",9.69,"18,531",43.06,...,...,"246,794",10.48,"1,601,228",-2.94
1994,"6,878,197",5.82,"4,210,707",6.79,"2,667,490",4.32,"367,705",4.56,"6,052,439",6.04,"458,053",1.53,"4,727,528",2.03,"23,884",28.89,...,...,"270,100",9.44,"1,856,685",15.95
1995,"7,525,556",9.41,"4,620,511",9.73,"2,905,045",8.91,"410,354",11.60,"6,617,332",9.33,"497,870",8.69,"5,143,789",8.81,"42,890",79.58,...,...,"272,544",0.90,"2,066,333",11.29
1996,"8,107,670",7.74,"4,922,498",6.54,"3,185,172",9.64,"447,263",8.99,"7,112,673",7.49,"547,734",10.02,"5,700,514",10.82,"58,084",35.43,...,...,"260,533",-4.41,"2,088,539",1.07
1997,"8,590,511",5.96,"5,216,375",5.97,"3,374,136",5.93,"485,535",8.56,"7,518,173",5.70,"586,803",7.13,"6,160,016",8.06,"75,992",30.83,...,...,"238,862",-8.32,"2,115,641",1.30
1998,"8,286,491",-3.54,"5,091,178",-2.40,"3,195,313",-5.30,"449,969",-7.33,"7,315,809",-2.69,"520,713",-11.26,"5,909,576",-4.07,"94,061",23.78,...,...,"251,043",5.10,"2,031,811",-3.96
1999,"9,070,567",9.46,"5,480,579",7.65,"3,589,988",12.35,"498,814",10.86,"7,984,692",9.14,"587,061",12.74,"6,561,807",11.04,"110,513",17.49,...,...,"282,594",12.57,"2,115,653",4.13
2000,"10,045,994",10.75,"6,035,503",10.13,"4,010,491",11.71,"531,581",6.57,"8,870,537",11.09,"643,876",9.68,"7,296,673",11.20,"119,676",8.29,...,...,"318,975",12.87,"2,310,670",9.22
2001,"9,893,261",-1.52,"5,947,770",-1.45,"3,945,491",-1.62,"509,816",-4.09,"8,764,045",-1.20,"619,400",-3.80,"7,092,968",-2.79,"141,687",18.39,...,...,"366,735",14.97,"2,291,871",-0.81
2002,"10,187,925",2.98,"6,022,475",1.26,"4,165,450",5.57,"523,073",2.60,"9,012,827",2.84,"652,025",5.27,"7,210,233",1.65,"165,236",16.62,"379,864",...,"78,575",-78.57,"2,354,017",2.71
2003,"8,138,248",-20.12,"4,863,219",-19.25,"3,275,029",-21.38,"433,293",-17.16,"7,243,553",-19.63,"461,402",-29.24,"5,890,131",-18.31,"149,176",-9.72,"267,102",-29.68,"19,805",-74.79,"1,812,034",-23.02
2004,"10,699,122",31.47,"6,300,580",29.56,"4,398,542",34.31,"588,809",35.89,"9,462,516",30.63,"647,797",40.40,"7,748,780",31.56,"153,190",2.69,"346,209",29.62,"22,646",14.34,"2,428,297",34.01
2005,"11,557,175",8.02,"6,758,467",7.27,"4,798,708",9.10,"628,861",6.80,"10,206,711",7.86,"721,603",11.39,"8,179,057",5.55,"200,142",30.65,"355,443",2.67,"24,323",7.41,"2,798,210",15.23
2006,"12,148,694",5.12,"7,014,024",3.78,"5,134,670",7.00,"668,002",6.22,"10,675,857",4.60,"804,835",11.53,"8,628,867",5.50,"286,608",43.20,"354,335",-0.31,"23,255",-4.39,"2,855,629",2.05
2007,"12,639,948",4.04,"7,208,147",2.77,"5,431,801",5.79,"702,602",5.18,"11,098,858",3.96,"838,488",4.18,"8,923,885",3.42,"292,618",2.10,"411,889",16.24,"22,741",-2.21,"2,988,815",4.66
2008,"12,297,825",-2.71,"7,001,958",-2.86,"5,295,867",-2.50,"667,148",-5.05,"10,812,279",-2.58,"818,398",-2.40,"8,452,638",-5.28,"314,914",7.62,"540,039",31.11,"27,698",21.80,"2,962,536",-0.88
2009,"12,513,288",1.75,"6,975,669",-0.38,"5,537,619",4.56,"652,612",-2.18,"10,946,191",1.24,"914,485",11.74,"8,118,284",-3.96,"953,009",202.63,"634,121",17.42,"37,792",36.44,"2,770,082",-6.50
2010,"14,980,936",19.72,"8,169,757",17.12,"6,811,179",23.00,"814,136",24.75,"13,022,571",18.97,"1,144,229",25.12,"9,413,659",15.96,"1,607,569",68.68,"700,700",10.50,"23,531",-37.74,"3,235,477",16.80
2011,"15,648,884",4.46,"8,514,700",4.22,"7,134,184",4.74,"818,873",0.58,"13,689,428",5.12,"1,140,583",-0.32,"9,561,400",1.57,"1,755,529",9.20,"720,722",2.86,"22,506",-4.36,"3,588,727",10.92
2012,"17,491,283",11.77,"9,275,166",8.93,"8,216,117",15.17,"921,693",12.56,"15,218,854",11.17,"1,350,736",18.43,"10,179,813",6.47,"2,551,532",45.34,"906,621",25.79,"21,682",-3.66,"3,831,635",6.77
2013,"19,072,276",9.04,"9,842,931",6.12,"9,229,345",12.33,"1,085,878",17.81,"16,539,929",8.68,"1,446,469",7.09,"11,055,996",8.61,"2,837,470",11.21,"1,062,417",17.18,"20,794",-4.10,"4,095,599",6.89
