期間,合計_原始值,合計_年增率(%),男性_原始值,男性_年增率(%),女性_原始值,女性_年增率(%),年滿十五歲以上按經濟活動分-合計_原始值,年滿十五歲以上按經濟活動分-合計_年增率(%),年滿十五歲以上按經濟活動分-商_原始值,年滿十五歲以上按經濟活動分-商_年增率(%),年滿十五歲以上按經濟活動分-工程師_原始值,年滿十五歲以上按經濟活動分-工程師_年增率(%),年滿十五歲以上按經濟活動分-教師_原始值,年滿十五歲以上按經濟活動分-教師_年增率(%),年滿十五歲以上按經濟活動分-傳教士_原始值,年滿十五歲以上按經濟活動分-傳教士_年增率(%),年滿十五歲以上按經濟活動分-技工技匠_原始值,年滿十五歲以上按經濟活動分-技工技匠_年增率(%),年滿十五歲以上按經濟活動分-外籍勞工_原始值,年滿十五歲以上按經濟活動分-外籍勞工_年增率(%),年滿十五歲以上按經濟活動分-其他_原始值,年滿十五歲以上按經濟活動分-其他_年增率(%),年滿十五歲以上按經濟活動分-失業_原始值,年滿十五歲以上按經濟活動分-失業_年增率(%),年滿十五歲以上按經濟活動分-非勞動力_原始值,年滿十五歲以上按經濟活動分-非勞動力_年增率(%),未滿十五歲者_原始值,未滿十五歲者_年增率(%)
2000M01,"340,659",...,"184,002",...,"156,657",...,"334,575",...,"4,557",...,"2,197",...,"3,094",...,"1,869",...,560,...,"281,728",...,"11,698",...,"2,345",...,"26,527",...,"6,084",...
2000M02,"348,603",...,"188,135",...,"160,468",...,"342,326",...,"4,674",...,"2,164",...,"3,406",...,"1,893",...,549,...,"286,108",...,"12,375",...,"2,348",...,"28,809",...,"6,277",...
2000M03,"350,180",...,"187,404",...,"162,776",...,"344,193",...,"4,363",...,"2,137",...,"3,462",...,"1,867",...,545,...,"287,637",...,"12,470",...,"2,327",...,"29,385",...,"5,987",...
2000M04,"353,323",...,"186,895",...,"166,428",...,"347,239",...,"4,538",...,"2,178",...,"3,679",...,"1,902",...,552,...,"288,771",...,"12,996",...,"2,398",...,"30,225",...,"6,084",...
2000M05,"358,151",...,"186,862",...,"171,289",...,"352,184",...,"4,717",...,"2,267",...,"3,734",...,"1,853",...,552,...,"292,961",...,"13,174",...,"2,403",...,"30,523",...,"5,967",...
2000M06,"359,296",...,"185,767",...,"173,529",...,"353,975",...,"4,630",...,"2,271",...,"3,209",...,"1,712",...,588,...,"297,604",...,"12,596",...,"2,312",...,"29,053",...,"5,321",...
2000M07,"361,379",...,"185,001",...,"176,378",...,"356,631",...,"4,547",...,"2,273",...,"2,915",...,"1,640",...,607,...,"301,831",...,"12,264",...,"2,267",...,"28,287",...,"4,748",...
2000M08,"368,865",...,"186,194",...,"182,671",...,"363,333",...,"4,813",...,"2,286",...,"3,352",...,"1,749",...,634,...,"303,600",...,"13,779",...,"2,362",...,"30,758",...,"5,532",...
2000M09,"380,070",...,"188,134",...,"191,936",...,"374,434",...,"4,900",...,"2,321",...,"3,799",...,"1,796",...,641,...,"308,355",...,"15,422",...,"2,473",...,"34,727",...,"5,636",...
2000M10,"387,802",...,"188,420",...,"199,382",...,"382,159",...,"4,846",...,"2,360",...,"4,133",...,"1,876",...,633,...,"310,678",...,"16,624",...,"2,564",...,"38,445",...,"5,643",...
