期間,上市公司-家數_原始值,上市公司-家數_年增率(%),上市公司-資本額_原始值,上市公司-資本額_年增率(%),上市公司-上市面值_原始值,上市公司-上市面值_年增率(%),上市公司-上市公司市值_原始值,上市公司-上市公司市值_年增率(%),上櫃公司-家數_原始值,上櫃公司-家數_年增率(%),上櫃公司-資本額_原始值,上櫃公司-資本額_年增率(%),上櫃公司-上櫃面值_原始值,上櫃公司-上櫃面值_年增率(%),上櫃公司-上櫃市值_原始值,上櫃公司-上櫃市值_年增率(%),其他公開發行公司-家數_原始值,其他公開發行公司-家數_年增率(%),其他公開發行公司-家數-興櫃股票_原始值,其他公開發行公司-家數-興櫃股票_年增率(%),其他公開發行公司-資本額_原始值,其他公開發行公司-資本額_年增率(%),其他公開發行公司-資本額-興櫃股票_原始值,其他公開發行公司-資本額-興櫃股票_年增率(%)
1987,141,...,291.82,...,287.35,...,"1,385.07",...,...,...,...,...,...,...,...,...,198,...,...,...,300.45,...,...,...
1988,163,15.60,352.50,20.79,343.58,19.57,"3,383.28",144.27,...,...,...,...,...,...,...,...,226,14.14,...,...,341.97,13.82,...,...
1989,181,11.04,439.23,24.60,421.30,22.62,"6,174.16",82.49,1,...,0.17,...,0.17,...,1.35,...,318,40.71,...,...,449.55,31.46,...,...
1990,199,9.94,533.33,21.42,506.43,20.21,"2,681.91",-56.56,4,300.00,1.45,752.94,1.45,752.94,8.39,521.48,567,78.30,...,...,645.42,43.57,...,...
1991,221,11.06,643.08,20.58,616.71,21.78,"3,184.03",18.72,9,125.00,3.78,160.69,3.78,160.69,10.52,25.39,717,26.46,...,...,766.81,18.81,...,...
1992,256,15.84,761.09,18.35,735.63,19.28,"2,545.50",-20.05,11,22.22,4.47,18.25,4.47,18.25,9.79,-6.94,803,11.99,...,...,"1,019.28",32.92,...,...
1993,285,11.33,908.37,19.35,891.02,21.12,"5,145.41",102.14,11,0.00,3.96,-11.41,3.96,-11.41,9.61,-1.84,852,6.10,...,...,"1,133.67",11.22,...,...
1994,313,9.82,"1,099.81",21.08,"1,071.10",20.21,"6,504.37",26.41,14,27.27,9.79,147.22,9.79,147.22,26.92,180.12,917,7.63,...,...,"1,204.80",6.27,...,...
1995,347,10.86,"1,346.68",22.45,"1,324.62",23.67,"5,108.44",-21.46,41,192.86,173.01,"1,667.21",173.01,"1,667.21",245.73,812.82,999,8.94,...,...,"1,218.17",1.11,...,...
1996,382,10.09,"1,661.27",23.36,"1,626.80",22.81,"7,528.85",47.38,79,92.68,264.13,52.67,264.13,52.67,833.46,239.18,"1,110",11.11,...,...,"2,206.31",81.12,...,...
1997,404,5.76,"2,106.29",26.79,"2,066.32",27.02,"9,696.11",28.79,114,44.30,314.89,19.22,314.89,19.22,"1,026.86",23.20,"1,501",35.23,...,...,"2,484.95",12.63,...,...
1998,437,8.17,"2,734.07",29.81,"2,696.66",30.51,"8,392.61",-13.44,176,54.39,381.39,21.12,381.39,21.12,887.63,-13.56,"1,810",20.59,...,...,"2,698.92",8.61,...,...
1999,462,5.72,"3,083.02",12.76,"3,056.54",13.35,"11,803.52",40.64,264,50.00,513.76,34.71,504.96,32.40,"1,468.44",65.43,"2,018",11.49,...,...,"2,946.94",9.19,...,...
2000,531,14.94,"3,661.36",18.76,"3,630.18",18.77,"8,191.47",-30.60,300,13.64,677.19,31.81,667.29,32.15,"1,050.59",-28.46,"2,257",11.84,...,...,"3,013.12",2.25,...,...
2001,584,9.98,"4,096.43",11.88,"4,064.00",11.95,"10,247.60",25.10,333,11.00,681.44,0.63,674.70,1.11,"1,412.19",34.42,"1,953",-13.47,...,...,"3,169.64",5.19,...,...
2002,638,9.25,"4,444.02",8.49,"4,410.40",8.52,"9,094.94",-11.25,384,15.32,627.30,-7.94,624.30,-7.47,862.25,-38.94,"1,328",-32.00,172,...,"2,672.75",-15.68,94.39,...
2003,669,4.86,"4,725.28",6.33,"4,705.51",6.69,"12,869.10",41.50,423,10.16,639.47,1.94,638.11,2.21,"1,200.78",39.26,"1,128",-15.06,245,42.44,"2,442.97",-8.60,258.68,174.05
2004,697,4.19,"5,058.08",7.04,"5,031.32",6.92,"13,989.10",8.70,466,10.17,626.10,-2.09,615.90,-3.48,"1,122.53",-6.52,989,-12.32,350,42.86,"2,411.17",-1.30,403.18,55.86
2005,691,-0.86,"5,415.96",7.08,"5,389.95",7.13,"15,633.86",11.76,503,7.94,643.18,2.73,633.21,2.81,"1,312.46",16.92,801,-19.01,257,-26.57,"2,312.01",-4.11,390.04,-3.26
2006,688,-0.43,"5,522.67",1.97,"5,494.93",1.95,"19,376.98",23.94,531,5.57,726.20,12.91,702.42,10.93,"1,899.45",44.72,673,-15.98,230,-10.51,"2,144.40",-7.25,332.40,-14.78
2007,698,1.45,"5,601.62",1.43,"5,558.64",1.16,"21,527.30",11.10,547,3.01,714.81,-1.57,679.17,-3.31,"1,868.77",-1.62,601,-10.70,246,6.96,"1,950.43",-9.05,277.82,-16.42
2008,718,2.87,"5,735.44",2.39,"5,690.40",2.37,"11,706.53",-45.62,539,-1.46,703.07,-1.64,662.27,-2.49,772.11,-58.68,535,-10.98,233,-5.28,"1,697.83",-12.95,280.50,0.96
2009,741,3.20,"5,869.59",2.34,"5,772.90",1.45,"21,033.64",79.67,546,1.30,772.73,9.91,719.43,8.63,"1,914.22",147.92,497,-7.10,223,-4.29,"1,817.05",7.02,288.39,2.81
2010,758,2.29,"5,927.95",0.99,"5,811.28",0.66,"23,811.42",13.21,564,3.30,705.99,-8.64,655.09,-8.94,"1,984.64",3.68,512,3.02,285,27.80,"1,689.56",-7.02,345.28,19.73
2011,790,4.22,"6,152.38",3.79,"6,026.77",3.71,"19,216.18",-19.30,607,7.62,731.92,3.67,682.42,4.17,"1,417.09",-28.60,516,0.78,277,-2.81,"1,622.29",-3.98,362.10,4.87
2012,809,2.41,"6,384.95",3.78,"6,257.98",3.84,"21,352.16",11.12,638,5.11,666.90,-8.88,629.36,-7.78,"1,737.98",22.64,540,4.65,285,2.89,"1,698.55",4.70,335.40,-7.37
2013,838,3.58,"6,610.03",3.53,"6,488.00",3.68,"24,519.56",14.83,658,3.13,661.85,-0.76,628.11,-0.20,"2,324.82",33.77,584,8.15,261,-8.42,"1,789.85",5.38,297.18,-11.40
