期間,總成交值(十億元)_原始值,總成交值(十億元)_年增率(%),成交筆數(百萬)_原始值,成交筆數(百萬)_年增率(%),成交金額(十億元)-股票_原始值,成交金額(十億元)-股票_年增率(%),成交金額(十億元)-指數股票型基金_原始值,成交金額(十億元)-指數股票型基金_年增率(%),成交金額(十億元)-封閉式基金_原始值,成交金額(十億元)-封閉式基金_年增率(%),成交金額(十億元)-受益證券_原始值,成交金額(十億元)-受益證券_年增率(%),成交金額(十億元)-認購(售)權證_原始值,成交金額(十億元)-認購(售)權證_年增率(%),成交金額(十億元)-臺灣存託憑證_原始值,成交金額(十億元)-臺灣存託憑證_年增率(%),成交金額(十億元)-公債_原始值,成交金額(十億元)-公債_年增率(%),成交金額(十億元)-公司債-普通_原始值,成交金額(十億元)-公司債-普通_年增率(%),成交金額(十億元)-公司債-轉換_原始值,成交金額(十億元)-公司債-轉換_年增率(%)
1991,"10,328.39",...,63.26,...,"9,682.74",...,...,...,...,...,...,...,...,...,...,...,0.27,...,0.18,...,5.91,...
1992,"6,287.02",-39.13,36.75,-41.91,"5,917.08",-38.89,...,...,...,...,...,...,...,...,...,...,0.00,-100.00,0.04,-77.78,3.78,-36.04
1993,"9,301.44",47.95,52.84,43.79,"9,056.72",53.06,...,...,...,...,...,...,...,...,...,...,0.36,--,0.00,-100.00,2.59,-31.48
1994,"19,476.62",109.39,82.10,55.37,"18,812.11",107.71,...,...,...,...,...,...,...,...,...,...,0.22,-38.89,0.00,--,7.58,192.66
1995,"10,305.20",-47.09,60.28,-26.58,"10,151.54",-46.04,...,...,...,...,...,...,...,...,...,...,0.00,-100.00,0.00,--,0.00,-100.00
1996,"13,142.48",27.53,74.60,23.75,"12,907.56",27.15,...,...,224.49,...,...,...,...,...,...,...,0.00,--,0.00,--,10.03,--
1997,"37,763.43",187.34,155.78,108.84,"37,241.15",188.52,...,...,500.52,122.96,...,...,1.96,...,...,...,0.00,--,0.00,--,19.80,97.41
1998,"29,799.32",-21.09,145.94,-6.32,"29,618.97",-20.47,...,...,89.96,-82.03,...,...,13.07,566.84,36.40,...,0.00,--,0.00,--,40.92,106.67
1999,"29,521.10",-0.93,160.96,10.30,"29,291.52",-1.11,...,...,39.85,-55.70,...,...,64.78,395.64,70.70,94.23,0.00,--,0.00,--,54.23,32.53
2000,"30,816.71",4.39,164.83,2.40,"30,526.57",4.22,...,...,28.08,-29.54,...,...,162.26,150.48,48.53,-31.36,0.00,--,0.00,--,51.28,-5.44
2001,"18,421.32",-40.22,142.65,-13.45,"18,354.94",-39.87,...,...,5.20,-81.48,...,...,28.44,-82.47,8.71,-82.05,0.01,--,0.00,--,24.03,-53.14
2002,"21,981.63",19.33,173.00,21.27,"21,873.95",19.17,...,...,4.02,-22.69,...,...,74.47,161.85,10.03,15.16,0.00,-100.00,0.00,--,19.16,-20.27
2003,"20,512.19",-6.68,168.15,-2.80,"20,333.24",-7.04,34.12,...,2.19,-45.52,...,...,118.34,58.91,14.39,43.47,0.00,--,0.00,--,9.93,-48.17
2004,"24,177.80",17.87,183.84,9.33,"23,875.37",17.42,79.31,132.44,1.54,-29.68,...,...,207.75,75.55,9.86,-31.48,0.00,--,0.00,--,3.98,-59.92
2005,"19,073.87",-21.11,143.61,-21.88,"18,818.90",-21.18,79.44,0.16,1.19,-22.73,12.27,...,142.37,-31.47,19.23,95.03,0.00,--,0.00,--,0.48,-87.94
2006,"24,205.33",26.90,175.09,21.92,"23,900.36",27.00,75.23,-5.30,0.57,-52.10,24.98,103.59,175.07,22.97,29.04,51.01,0.00,--,0.00,--,0.10,-79.17
2007,"33,527.47",38.51,233.78,33.52,"33,043.85",38.26,125.37,66.65,0.83,45.61,12.30,-50.76,253.18,44.62,91.93,216.56,0.00,--,0.00,--,0.00,-100.00
2008,"26,666.17",-20.46,230.43,-1.43,"26,115.41",-20.97,232.04,85.08,0.89,7.23,13.41,9.02,275.82,8.94,28.61,-68.88,0.00,--,0.00,--,0.00,--
2009,"30,118.75",12.95,279.95,21.49,"29,680.47",13.65,197.84,-14.74,0.51,-42.70,5.01,-62.64,106.43,-61.41,128.49,349.11,0.00,--,0.00,--,0.00,--
2010,"28,890.34",-4.08,244.78,-12.56,"28,218.68",-4.93,199.58,0.88,0.22,-56.86,5.01,0.00,204.95,92.57,261.91,103.84,0.00,--,0.00,--,0.00,--
2011,"26,996.17",-6.56,220.10,-10.08,"26,197.41",-7.16,360.76,80.76,0.50,127.27,10.64,112.38,284.68,38.90,142.18,-45.71,0.00,--,0.00,--,0.00,--
2012,"20,789.63",-22.99,183.84,-16.48,"20,238.17",-22.75,269.24,-25.37,0.37,-26.00,15.36,44.36,231.31,-18.75,35.18,-75.26,0.00,--,0.00,--,0.00,--
2013,"19,603.33",-5.71,184.24,0.22,"18,940.93",-6.41,282.35,4.87,0.67,81.08,11.62,-24.35,340.00,46.99,27.75,-21.12,0.00,--,0.00,--,0.00,--
