期間,總成交值(百萬元)-一般_原始值,總成交值(百萬元)-一般_年增率(%),總成交值(百萬元)-興櫃_原始值,總成交值(百萬元)-興櫃_年增率(%),成交量(百萬股)-一般_原始值,成交量(百萬股)-一般_年增率(%),成交量(百萬股)-興櫃_原始值,成交量(百萬股)-興櫃_年增率(%),日平均值(百萬元)-一般_原始值,日平均值(百萬元)-一般_年增率(%),日平均值(百萬元)-興櫃_原始值,日平均值(百萬元)-興櫃_年增率(%),交易日數_原始值,交易日數_年增率(%),店頭市場股價指數(月平均)_原始值,店頭市場股價指數(月平均)_年增率(%),交易人數_原始值,交易人數_年增率(%)
1989,0.90,...,...,...,0.00,...,...,...,0.00,...,...,...,287,...,...,...,...,...
1990,"1,179.50","130,955.56",...,...,7.50,--,...,...,4.20,--,...,...,281,-2.09,...,...,...,...
1991,464.10,-60.65,...,...,13.90,85.33,...,...,1.60,-61.90,...,...,286,1.78,...,...,...,...
1992,671.20,44.62,...,...,20.00,43.88,...,...,2.40,50.00,...,...,284,-0.70,...,...,...,...
1993,648.70,-3.35,...,...,20.00,0.00,...,...,2.20,-8.33,...,...,290,2.11,...,...,...,...
1994,568.10,-12.42,...,...,19.40,-3.00,...,...,2.00,-9.09,...,...,286,-1.38,...,...,"15,998",...
1995,"2,796.40",392.24,...,...,171.00,781.44,...,...,9.80,390.00,...,...,286,0.00,96.55,...,"45,668",185.46
1996,"453,508.80","16,117.59",...,...,"16,958.70","9,817.37",...,...,"1,574.70","15,968.37",...,...,288,0.70,170.27,76.35,"817,535","1,690.17"
1997,"2,310,658.70",409.51,...,...,"43,115.00",154.24,...,...,"8,079.20",413.06,...,...,286,-0.69,274.29,61.09,"2,769,178",238.72
1998,"1,198,157.90",-48.15,...,...,"30,680.70",-28.84,...,...,"4,421.20",-45.28,...,...,271,-5.24,213.23,-22.26,"4,699,563",69.71
1999,"1,899,924.60",58.57,...,...,"49,052.00",59.88,...,...,"7,142.60",61.55,...,...,266,-1.85,171.62,-19.51,"6,094,641",29.69
2000,"4,479,662.70",135.78,...,...,"88,421.70",80.26,...,...,"16,530.10",131.43,...,...,271,1.88,219.37,27.82,"7,581,289",24.39
2001,"2,326,967.20",-48.05,...,...,"81,487.40",-7.84,...,...,"9,536.80",-42.31,...,...,244,-9.96,118.04,-46.19,"8,160,457",7.64
2002,"2,794,724.30",20.10,"19,174.10",...,"101,842.40",24.98,369.20,...,"11,269.00",18.16,77.30,...,248,1.64,125.88,6.64,"1,503,781",-81.57
2003,"2,059,385.20",-26.31,"30,991.30",61.63,"101,056.30",-0.77,"1,075.10",191.20,"8,270.60",-26.61,124.50,61.06,249,0.40,102.65,-18.45,"1,251,460",-16.78
2004,"3,475,448.96",68.76,"42,070.06",35.75,"155,732.52",54.10,"1,987.93",84.91,"13,901.80",68.09,168.28,35.16,250,0.40,124.82,21.60,"1,732,436",38.43
2005,"3,166,452.60",-8.89,"86,307.30",105.15,"112,192.60",-27.96,"2,993.00",50.56,"12,819.60",-7.78,349.40,107.63,247,-1.20,118.59,-4.99,"1,235,228",-28.70
2006,"5,129,111.90",61.98,"159,092.10",84.33,"154,206.30",37.45,"4,298.40",43.62,"20,681.90",61.33,641.50,83.60,248,0.40,138.90,17.13,"1,472,744",19.23
2007,"8,537,395.30",66.45,"317,349.50",99.48,"191,276.70",24.04,"6,397.90",48.84,"34,564.40",67.12,"1,284.80",100.28,247,-0.40,180.16,29.70,"1,938,361",31.62
2008,"3,285,462.80",-61.52,"91,524.80",-71.16,"101,994.10",-46.68,"3,338.60",-47.82,"13,194.60",-61.83,367.60,-71.39,249,0.81,114.40,-36.50,"1,492,938",-22.98
2009,"5,238,959.40",59.46,"168,651.90",84.27,"168,791.90",65.49,"5,089.50",52.44,"20,872.30",58.19,671.90,82.78,251,0.80,103.93,-9.15,"1,727,153",15.69
2010,"5,633,588.50",7.53,"238,133.60",41.20,"155,017.90",-8.16,"5,887.90",15.69,"22,444.60",7.53,948.70,41.20,251,0.00,139.00,33.74,"1,875,702",8.60
2011,"3,993,036.10",-29.12,"203,482.30",-14.55,"98,413.70",-36.51,"5,704.00",-3.12,"16,166.10",-27.97,823.80,-13.17,247,-1.59,123.49,-11.16,"1,693,159",-9.73
2012,"2,951,904.70",-26.07,"154,858.70",-23.90,"77,256.70",-21.50,"5,900.60",3.45,"11,807.60",-26.96,619.40,-24.81,250,1.21,105.23,-14.79,"1,436,371",-15.17
2013,"4,030,894.80",36.55,"289,103.80",86.69,"97,276.70",25.91,"7,403.50",25.47,"16,385.80",38.77,"1,175.20",89.73,246,-1.60,117.47,11.63,"1,485,936",3.45
