期間,累計買賣超金額 (新臺幣億元)_投信,累計買賣超金額 (新臺幣億元)_自營商,累計買賣超金額 (新臺幣億元)_外資,交易金額比重(%)_投信,交易金額比重(%)_自營商,交易金額比重(%)_外資
1992,...,...,62,...,...,0.2
1993,...,...,420,...,...,0.4
1994,...,...,192,...,...,0.7
1995,...,...,460,...,...,1.3
1996,...,...,568,...,...,2.1
1997,...,...,-121,...,...,1.6
1998,-53,-186,247,2.6,1.6,2.0
1999,-344,367,"3,335",3.4,1.9,3.0
2000,-160,-790,"1,613",3.8,1.9,4.5
2001,-84,100,"3,066",4.1,1.7,7.0
2002,69,23,279,4.1,1.9,7.6
2003,-57,298,"5,490",4.1,2.7,10.7
2004,-141,-154,"2,840",3.0,3.4,12.5
2005,-863,169,"7,194",3.4,4.1,17.9
2006,-543,69,"5,581",2.7,3.4,18.4
2007,"1,554",158,741,2.7,2.9,19.6
2008,440,433,"-4,700",3.4,3.1,24.3
2009,-289,100,"4,801",2.7,2.3,16.4
2010,-678,27,"2,812",2.4,3.0,18.5
2011,94,-456,"-2,776",2.5,3.7,21.8
2012,-161,-22,"1,442",2.5,3.3,22.6
2013,-767,85,"2,430",2.1,4.6,24.6
