期間,平均每股市值_原始值,平均每股市值_年增率(%),平均每股盈餘_原始值,平均每股盈餘_年增率(%),平均每股淨值_原始值,平均每股淨值_年增率(%),本益比_原始值,本益比_年增率(%),成交值週轉率(%)_原始值,成交值週轉率(%)_年增率(%)
1987,48.24,...,2.59,...,15.54,...,22.10,-,...,-
1988,98.47,104.13,3.21,23.94,15.48,-0.39,26.60,-,...,-
1989,146.55,48.83,2.95,-8.10,16.52,6.72,55.90,-,...,-
1990,52.96,-63.86,1.95,-33.90,16.34,-1.09,31.10,-,...,-
1991,51.63,-2.51,1.95,0.00,15.94,-2.45,32.10,-,...,-
1992,34.60,-32.98,1.77,-9.23,16.34,2.51,22.85,-,...,-
1993,57.76,66.94,1.53,-13.56,15.59,-4.59,40.99,-,...,-
1994,60.70,5.09,2.26,47.71,16.48,5.71,33.52,-,...,-
1995,38.57,-36.46,2.03,-10.18,16.45,-0.18,21.31,-,...,-
1996,46.28,19.99,1.48,-27.09,15.76,-4.19,29.01,-,243.43,-
1997,46.92,1.38,1.73,16.89,16.98,7.74,27.04,-,407.32,-
1998,31.15,-33.61,1.20,-30.64,14.30,-15.78,26.14,-,314.06,-
1999,38.62,23.98,0.80,-33.33,14.85,3.85,47.73,-,288.62,-
2000,22.56,-41.58,1.52,90.00,16.18,8.96,14.84,-,259.16,-
2001,25.22,11.79,0.61,-59.87,15.33,-5.25,41.57,-,206.95,-
2002,20.62,-18.24,0.49,-19.67,15.00,-2.15,41.77,-,217.41,-
2003,27.35,32.64,1.12,128.57,15.19,1.27,24.76,-,190.82,-
2004,27.80,1.65,2.14,91.07,16.09,5.92,12.58,-,177.46,-
2005,28.87,3.85,1.61,-24.77,16.42,2.05,17.55,-,131.36,-
2006,35.09,21.54,1.81,12.42,17.86,8.77,18.98,-,142.20,-
2007,38.43,9.52,2.47,36.46,19.42,8.73,15.31,-,153.28,-
2008,20.41,-46.89,2.02,-18.22,18.76,-3.40,9.80,-,145.45,-
2009,35.83,75.55,0.30,-85.15,18.81,0.27,110.54,-,178.28,-
2010,40.17,12.11,2.50,733.33,20.45,8.72,16.04,-,217.20,-
2011,31.23,-22.26,1.91,-23.60,20.32,-0.64,15.76,-,119.87,-
2012,33.44,7.08,1.30,-31.94,20.43,0.54,23.62,-,97.33,-
2013,37.09,10.92,2.04,56.92,20.93,2.45,18.04,-,82.64,-
