期間,平均每股市值_原始值,平均每股市值_年增率(%),平均每股盈餘_原始值,平均每股盈餘_年增率(%),平均每股淨值_原始值,平均每股淨值_年增率(%),本益比_原始值,本益比_年增率(%),成交值週轉率(%)_原始值,成交值週轉率(%)_年增率(%)
1998M08,32.03,...,1.43,...,15.02,...,21.50,-,...,-
1998M09,33.34,...,1.41,...,14.54,...,23.36,-,...,-
1998M10,34.84,...,1.29,...,14.27,...,26.36,-,...,-
1998M11,34.69,...,1.18,...,14.20,...,29.15,-,...,-
1998M12,31.15,...,1.20,...,14.30,...,26.14,-,...,-
1999M01,30.74,...,1.25,...,15.09,...,24.50,-,...,-
1999M02,30.74,...,1.19,...,15.21,...,25.94,-,...,-
1999M03,33.67,...,1.21,...,14.26,...,28.11,-,...,-
1999M04,36.25,...,1.05,...,14.31,...,34.46,-,...,-
1999M05,35.83,...,0.72,...,15.44,...,49.61,-,...,-
1999M06,40.31,...,0.72,...,15.15,...,55.80,-,...,-
1999M07,33.52,...,0.53,...,14.83,...,47.35,-,...,-
1999M08,37.00,15.52,0.63,-55.94,14.74,-1.86,57.13,-,...,-
1999M09,34.23,2.67,0.65,-53.90,14.51,-0.21,52.41,-,...,-
1999M10,35.13,0.83,0.68,-47.29,14.52,1.75,51.92,-,...,-
1999M11,34.74,0.14,0.79,-33.05,14.91,5.00,43.80,-,...,-
1999M12,38.62,23.98,0.80,-33.33,14.85,3.85,47.73,-,...,-
2000M01,44.95,46.23,0.80,-36.00,14.84,-1.66,56.26,-,...,-
2000M02,43.80,42.49,0.77,-35.29,14.85,-2.37,57.00,-,...,-
2000M03,45.66,35.61,0.79,-34.71,14.82,3.93,57.85,-,...,-
2000M04,40.92,12.88,1.04,-0.95,15.62,9.15,39.48,-,...,-
2000M05,41.64,16.22,1.40,94.44,16.20,4.92,29.68,-,...,-
2000M06,37.01,-8.19,1.31,81.94,15.55,2.64,27.56,-,...,-
2000M07,36.02,7.46,1.30,145.28,14.89,0.40,27.65,-,...,-
2000M08,32.86,-11.19,1.32,109.52,15.35,4.14,24.97,-,...,-
2000M09,26.51,-22.55,1.31,101.54,15.15,4.41,20.28,-,...,-
2000M10,26.27,-25.22,1.41,107.35,14.84,2.20,18.63,-,...,-
2000M11,23.76,-31.61,1.48,87.34,15.23,2.15,16.03,-,...,-
2000M12,22.56,-41.58,1.52,90.00,16.18,8.96,14.84,-,...,-
2001M01,28.16,-37.35,1.52,90.00,16.19,9.10,18.59,-,...,-
2001M02,26.93,-38.52,1.52,97.40,16.22,9.23,17.66,-,...,-
2001M03,27.52,-39.73,1.52,92.41,16.19,9.24,18.07,-,...,-
2001M04,25.49,-37.71,1.43,37.50,16.34,4.61,17.80,-,...,-
2001M05,24.32,-41.59,1.27,-9.29,16.85,4.01,19.22,-,...,-
2001M06,21.88,-40.88,1.23,-6.11,16.42,5.59,18.72,-,...,-
2001M07,19.33,-46.34,1.21,-6.92,15.96,7.19,16.67,-,...,-
2001M08,20.12,-38.77,1.01,-23.48,15.56,1.37,20.37,-,...,-
2001M09,16.29,-38.55,1.04,-20.61,15.37,1.45,18.11,-,...,-
2001M10,17.45,-33.57,0.88,-37.59,15.32,3.23,20.49,-,...,-
2001M11,20.07,-15.53,0.65,-56.08,15.42,1.25,31.50,-,...,-
2001M12,25.22,11.79,0.61,-59.87,15.33,-5.25,41.57,-,...,-
2002M01,26.81,-4.79,0.62,-59.21,15.35,-5.19,44.08,-,30.64,-
2002M02,26.01,-3.42,0.62,-59.21,15.31,-5.61,42.68,-,11.55,-
2002M03,28.57,3.82,0.63,-58.55,15.52,-4.14,45.77,-,23.96,-
2002M04,28.23,10.74,0.52,-63.64,15.44,-5.51,55.36,-,21.58,-
2002M05,26.36,8.39,0.54,-57.48,15.89,-5.70,52.38,-,15.58,-
2002M06,23.45,7.18,0.53,-56.91,15.77,-3.96,45.54,-,13.94,-
2002M07,22.13,14.49,0.52,-57.02,15.16,-5.01,44.25,-,17.48,-
2002M08,21.58,7.26,0.28,-72.28,14.70,-5.53,84.02,-,14.74,-
2002M09,18.96,16.39,0.30,-71.15,14.72,-4.23,67.77,-,12.48,-
2002M10,20.89,19.71,0.39,-55.68,14.88,-2.87,53.02,-,18.18,-
2002M11,21.35,6.38,0.41,-36.92,14.91,-3.31,52.62,-,20.00,-
2002M12,20.62,-18.24,0.49,-19.67,15.00,-2.15,41.77,-,17.28,-
2003M01,23.34,-12.94,0.44,-29.03,14.98,-2.41,52.83,-,20.51,-
2003M02,20.68,-20.49,0.43,-30.65,15.00,-2.02,48.46,-,10.63,-
2003M03,20.16,-29.44,0.42,-33.33,14.99,-3.41,47.81,-,10.80,-
2003M04,19.43,-31.17,0.47,-9.62,15.21,-1.49,41.47,-,13.90,-
2003M05,21.29,-19.23,0.60,11.11,15.51,-2.39,35.64,-,10.58,-
2003M06,22.75,-2.99,0.60,13.21,15.45,-2.03,38.06,-,20.33,-
2003M07,24.20,9.35,0.59,13.46,15.18,0.13,41.54,-,27.71,-
2003M08,25.21,16.82,0.88,214.29,14.80,0.68,29.09,-,18.44,-
2003M09,25.28,33.33,0.89,196.67,14.77,0.34,28.48,-,15.07,-
2003M10,27.51,31.69,1.09,179.49,15.19,2.08,25.16,-,17.96,-
2003M11,26.32,23.28,1.11,170.73,15.05,0.94,24.21,-,13.80,-
2003M12,27.35,32.64,1.12,128.57,15.19,1.27,24.76,-,11.09,-
2004M01,29.58,26.74,1.12,154.55,15.18,1.34,26.74,-,13.13,-
2004M02,31.30,51.35,1.12,160.47,15.19,1.27,27.94,-,21.53,-
2004M03,30.28,50.20,1.16,176.19,15.21,1.47,25.97,-,26.03,-
2004M04,28.60,47.20,1.77,276.60,16.35,7.50,16.15,-,23.48,-
2004M05,27.97,31.38,1.77,195.00,16.27,4.90,15.49,-,14.11,-
2004M06,26.84,17.98,1.76,193.33,16.06,3.95,15.09,-,11.53,-
2004M07,24.61,1.69,1.76,198.31,15.91,4.81,13.77,-,9.90,-
2004M08,25.73,2.06,1.95,121.59,16.01,8.18,13.18,-,9.98,-
2004M09,26.07,3.13,1.94,117.98,15.52,5.08,13.21,-,13.45,-
2004M10,25.47,-7.42,2.16,98.17,16.17,6.45,11.72,-,12.88,-
2004M11,26.42,0.38,2.15,93.69,16.20,7.64,11.97,-,11.50,-
2004M12,27.80,1.65,2.14,91.07,16.09,5.92,12.58,-,9.94,-
2005M01,27.29,-7.74,2.17,93.75,16.24,6.98,12.40,-,8.41,-
2005M02,28.15,-10.06,2.17,93.75,16.24,6.91,12.91,-,7.85,-
2005M03,27.22,-10.11,2.15,85.34,16.20,6.51,12.59,-,12.15,-
2005M04,26.37,-7.80,1.82,2.82,17.15,4.89,14.22,-,8.90,-
2005M05,27.36,-2.18,1.82,2.82,17.15,5.41,14.68,-,9.44,-
2005M06,28.30,5.44,1.78,1.14,17.00,5.85,15.31,-,12.61,-
2005M07,28.23,14.71,1.76,0.00,16.71,5.03,15.50,-,12.86,-
2005M08,26.57,3.26,1.58,-18.97,15.71,-1.87,16.52,-,12.15,-
2005M09,26.87,3.07,1.59,-18.04,15.68,1.03,16.59,-,9.48,-
2005M10,25.38,-0.35,1.62,-25.00,16.52,2.16,15.51,-,10.34,-
2005M11,27.32,3.41,1.61,-25.12,16.49,1.79,16.63,-,11.66,-
2005M12,28.87,3.85,1.61,-24.77,16.42,2.05,17.55,-,15.51,-
2006M01,28.82,5.61,1.60,-26.27,16.38,0.86,17.57,-,13.86,-
2006M02,29.01,3.06,1.61,-25.81,16.39,0.92,17.62,-,10.04,-
2006M03,29.29,7.60,1.56,-27.44,16.49,1.79,18.73,-,12.98,-
2006M04,32.14,21.88,1.61,-11.54,17.21,0.35,19.63,-,13.35,-
2006M05,30.97,13.19,1.75,-3.85,18.28,6.59,17.00,-,16.55,-
2006M06,30.31,7.10,1.75,-1.69,18.22,7.18,16.82,-,12.51,-
2006M07,29.24,3.58,1.75,-0.57,18.15,8.62,16.28,-,9.32,-
2006M08,29.22,9.97,1.81,14.56,17.21,9.55,15.97,-,10.51,-
2006M09,30.42,13.21,1.86,16.98,17.31,10.40,16.12,-,9.26,-
2006M10,31.40,23.72,1.87,15.43,17.82,7.87,16.21,-,9.50,-
2006M11,33.85,23.90,1.81,12.42,17.85,8.25,17.92,-,12.43,-
2006M12,35.09,21.54,1.81,12.42,17.86,8.77,18.98,-,11.89,-
2007M01,34.62,20.12,1.84,15.00,17.92,9.40,18.66,-,13.82,-
2007M02,35.54,22.51,1.85,14.91,17.93,9.40,19.10,-,5.60,-
2007M03,35.55,21.38,1.88,20.51,18.09,9.70,18.71,-,13.21,-
2007M04,35.44,10.27,1.97,22.36,19.36,12.49,17.89,-,10.87,-
2007M05,36.63,18.28,1.96,12.00,19.43,6.29,18.47,-,10.44,-
2007M06,40.02,32.04,1.96,12.00,19.39,6.42,20.26,-,13.50,-
2007M07,41.62,42.34,1.95,11.43,19.25,6.06,21.28,-,21.49,-
2007M08,39.75,36.04,2.12,17.13,18.47,7.32,18.72,-,15.83,-
