期間,全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%)
1958,-,--,-,--,-,--,"172,469",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1959,-,--,-,--,-,--,"189,271",9.74,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1960,-,--,-,--,-,--,"203,909",7.73,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1961,-,--,-,--,-,--,"213,419",4.66,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1962,-,--,-,--,-,--,"218,434",2.35,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1963,-,--,-,--,-,--,"224,743",2.89,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1964,-,--,-,--,-,--,"232,262",3.35,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1965,-,--,-,--,-,--,"241,955",4.17,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1966,-,--,-,--,-,--,"250,155",3.39,...,...,...,...,"633,948",...,...,...,...,...,...,...,...,...,...,...
1967,-,--,-,--,-,--,"259,133",3.59,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1968,-,--,-,--,-,--,"271,145",4.64,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1969,-,--,-,--,-,--,"282,845",4.32,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1970,-,--,-,--,-,--,"298,667",5.59,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1971,-,--,-,--,-,--,"313,106",4.83,...,...,...,...,"999,597",...,...,...,...,...,...,...,...,...,...,...
1972,-,--,-,--,-,--,"329,016",5.08,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1973,-,--,-,--,-,--,"335,558",1.99,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1974,-,--,-,--,-,--,"350,362",4.41,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1975,-,--,-,--,-,--,"367,053",4.76,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1976,-,--,-,--,-,--,"377,928",2.96,...,...,...,...,"1,709,847",...,...,...,...,...,...,...,...,...,...,...
1977,-,--,-,--,-,--,"388,531",2.81,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1978,-,--,-,--,-,--,"399,306",2.77,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1979,-,--,-,--,-,--,"408,415",2.28,...,...,...,...,"2,283,516",...,...,...,...,...,...,...,...,...,...,...
1980,-,--,-,--,-,--,"435,455",6.62,...,...,...,...,"2,538,125",11.15,...,...,...,...,...,...,...,...,...,...
1981,-,--,-,--,-,--,"462,463",6.20,...,...,...,...,"2,781,512",9.59,...,...,...,...,...,...,...,...,...,...
1982,-,--,-,--,-,--,"476,479",3.03,...,...,...,...,"2,950,119",6.06,...,...,...,...,...,...,...,...,...,...
1983,-,--,-,--,-,--,"487,102",2.23,...,...,...,...,"3,322,977",12.64,...,...,...,...,...,...,...,...,...,...
1984,-,--,-,--,-,--,"504,172",3.50,...,...,...,...,"3,693,276",11.14,...,...,...,...,...,...,...,...,...,...
1985,-,--,-,--,-,--,"506,892",0.54,...,...,...,...,"4,049,472",9.64,...,...,...,...,"100,739",...,...,...,...,...
1986,-,--,-,--,-,--,"514,669",1.53,...,...,...,...,"4,711,969",16.36,...,...,...,...,"113,365",12.53,...,...,...,...
1987,-,--,-,--,-,--,"521,127",1.25,...,...,...,...,"5,321,733",12.94,...,...,...,...,"218,021",92.32,...,...,...,...
1988,-,--,-,--,-,--,"527,637",1.25,...,...,...,...,"5,980,157",12.37,...,...,...,...,"676,461",210.27,...,...,...,...
1989,-,--,-,--,-,--,"547,071",3.68,...,...,...,...,"6,549,661",9.52,...,...,...,...,"1,344,155",98.70,...,...,...,...
1990,-,--,-,--,-,--,"570,909",4.36,...,...,...,...,"6,852,978",4.63,...,...,...,...,"1,571,296",16.90,...,...,...,...
1991,-,--,-,--,-,--,"586,245",2.69,...,...,...,...,"7,281,445",6.25,...,...,...,...,"1,653,676",5.24,...,...,...,...
1992,-,--,-,--,-,--,"598,781",2.14,...,...,...,...,"7,708,868",5.87,...,...,...,...,"1,695,167",2.51,...,...,...,...
1993,-,--,-,--,-,--,"613,973",2.54,...,...,...,...,"8,144,183",5.65,...,...,...,...,"1,708,488",0.79,...,...,...,...
