期間,醫療補助-受益人次-合計_原始值,醫療補助-受益人次-合計_年增率(%),醫療補助-受益人次-男_原始值,醫療補助-受益人次-男_年增率(%),醫療補助-受益人次-女_原始值,醫療補助-受益人次-女_年增率(%),醫療補助-金額(元)_原始值,醫療補助-金額(元)_年增率(%),中低收入住院看護補助-補助人次-計_原始值,中低收入住院看護補助-補助人次-計_年增率(%),中低收入住院看護補助-補助人次-男_原始值,中低收入住院看護補助-補助人次-男_年增率(%),中低收入住院看護補助-補助人次-女_原始值,中低收入住院看護補助-補助人次-女_年增率(%),中低收入住院看護補助-金額(元)_原始值,中低收入住院看護補助-金額(元)_年增率(%)
1992,...,...,...,...,...,...,"995,410,000",...,...,...,...,...,...,...,...,...
1993,"89,299",...,...,...,...,...,"1,162,769,923",16.81,...,...,...,...,...,...,...,...
1994,"39,586",-55.67,...,...,...,...,"646,240,603",-44.42,...,...,...,...,...,...,...,...
1995,"42,807",8.14,...,...,...,...,"608,224,065",-5.88,...,...,...,...,...,...,...,...
1996,"25,561",-40.29,...,...,...,...,"145,222,937",-76.12,...,...,...,...,...,...,...,...
1997,"45,196",76.82,...,...,...,...,"157,616,329",8.53,...,...,...,...,...,...,...,...
1998,"14,788",-67.28,...,...,...,...,"167,583,664",6.32,...,...,...,...,...,...,...,...
1999,"10,548",-28.67,...,...,...,...,"102,525,465",-38.82,...,...,...,...,...,...,...,...
2000,"7,889",-25.21,...,...,...,...,"96,947,380",-5.44,...,...,...,...,...,...,...,...
2001,"9,640",22.20,...,...,...,...,"101,727,598",4.93,"4,454",...,...,...,...,...,"102,086,152",...
2002,"10,049",4.24,...,...,...,...,"104,851,072",3.07,"4,678",5.03,...,...,...,...,"91,907,148",-9.97
2003,"11,242",11.87,"8,517",...,"2,725",...,"89,630,957",-14.52,"4,683",0.11,"3,166",...,"1,517",...,"95,233,657",3.62
2004,"12,146",8.04,"7,849",-7.84,"4,297",57.69,"105,216,697",17.39,"4,880",4.21,"3,272",3.35,"1,608",6.00,"92,457,002",-2.92
2005,"10,756",-11.44,"7,159",-8.79,"3,597",-16.29,"93,763,626",-10.89,"5,145",5.43,"3,566",8.99,"1,579",-1.80,"104,289,186",12.80
2006,"10,253",-4.68,"6,996",-2.28,"3,257",-9.45,"87,395,574",-6.79,"5,162",0.33,"3,480",-2.41,"1,682",6.52,"101,704,636",-2.48
2007,"9,259",-9.69,"6,499",-7.10,"2,760",-15.26,"93,117,712",6.55,"5,854",13.41,"4,065",16.81,"1,789",6.36,"109,650,561",7.81
2008,"8,007",-13.52,"5,877",-9.57,"2,130",-22.83,"84,022,523",-9.77,"6,501",11.05,"4,616",13.55,"1,885",5.37,"114,107,649",4.06
2009,"5,486",-31.48,"3,957",-32.67,"1,529",-28.22,"66,394,446",-20.98,"7,033",8.18,"4,922",6.63,"2,111",11.99,"121,669,314",6.63
2010,"5,773",5.23,"4,351",9.96,"1,422",-7.00,"64,026,924",-3.57,"8,066",14.69,"5,706",15.93,"2,360",11.80,"128,706,945",5.78
2011,"5,383",-6.76,"4,074",-6.37,"1,309",-7.95,"70,917,654",10.76,"9,761",21.01,"7,068",23.87,"2,693",14.11,"162,687,156",26.40
2012,"5,013",-6.87,"3,719",-8.71,"1,294",-1.15,"71,755,699",1.18,"9,667",-0.96,"7,044",-0.34,"2,623",-2.60,"162,830,063",0.09
2013,"4,322",-13.78,"3,046",-18.10,"1,276",-1.39,"80,407,028",12.06,"10,258",6.11,"7,466",5.99,"2,792",6.44,"169,355,078",4.01
