期間,醫療補助-受益人次-合計_原始值,醫療補助-受益人次-合計_年增率(%),醫療補助-受益人次-男_原始值,醫療補助-受益人次-男_年增率(%),醫療補助-受益人次-女_原始值,醫療補助-受益人次-女_年增率(%),醫療補助-金額(元)_原始值,醫療補助-金額(元)_年增率(%),中低收入住院看護補助-補助人次-計_原始值,中低收入住院看護補助-補助人次-計_年增率(%),中低收入住院看護補助-補助人次-男_原始值,中低收入住院看護補助-補助人次-男_年增率(%),中低收入住院看護補助-補助人次-女_原始值,中低收入住院看護補助-補助人次-女_年增率(%),中低收入住院看護補助-金額(元)_原始值,中低收入住院看護補助-金額(元)_年增率(%)
2001Q1,"1,616",...,...,...,...,...,"18,239,048",...,787,...,...,...,...,...,"17,850,615",...
2001Q2,"2,114",...,...,...,...,...,"22,755,118",...,"1,184",...,...,...,...,...,"28,875,085",...
2001Q3,"3,764",...,...,...,...,...,"36,940,572",...,"1,166",...,...,...,...,...,"26,717,876",...
2001Q4,"2,146",...,...,...,...,...,"23,792,860",...,"1,317",...,...,...,...,...,"28,642,576",...
2002Q1,"1,109",-31.37,...,...,...,...,"15,669,702",-14.09,765,-2.80,...,...,...,...,"16,565,393",-7.20
2002Q2,"2,629",24.36,...,...,...,...,"23,525,380",3.39,"1,229",3.80,...,...,...,...,"26,336,458",-8.79
2002Q3,"2,798",-25.66,...,...,...,...,"29,965,889",-18.88,"1,274",9.26,...,...,...,...,"21,399,569",-19.91
2002Q4,"3,513",63.70,...,...,...,...,"35,690,101",50.00,"1,410",7.06,...,...,...,...,"27,605,728",-3.62
2003Q1,"1,670",50.59,"1,285",...,385,...,"11,248,301",-28.22,797,4.18,561,...,236,...,"15,718,154",-5.11
2003Q2,"1,673",-36.36,"1,135",...,538,...,"12,338,522",-47.55,"1,208",-1.71,853,...,355,...,"25,306,084",-3.91
2003Q3,"3,498",25.02,"2,953",...,545,...,"29,212,969",-2.51,981,-23.00,576,...,405,...,"18,840,057",-11.96
2003Q4,"4,401",25.28,"3,144",...,"1,257",...,"36,831,165",3.20,"1,697",20.35,"1,176",...,521,...,"29,789,362",7.91
2004Q1,"1,482",-11.26,986,-23.27,496,28.83,"12,638,342",12.36,816,2.38,545,-2.85,271,14.83,"16,554,711",5.32
2004Q2,"2,103",25.70,"1,457",28.37,646,20.07,"15,321,396",24.18,"1,378",14.07,896,5.04,482,35.77,"28,253,191",11.65
2004Q3,"3,950",12.92,"2,574",-12.83,"1,376",152.48,"36,497,381",24.94,"1,063",8.36,701,21.70,362,-10.62,"21,367,079",13.41
2004Q4,"4,611",4.77,"2,832",-9.92,"1,779",41.53,"40,759,578",10.67,"1,623",-4.36,"1,130",-3.91,493,-5.37,"26,282,021",-11.77
2005Q1,"1,568",5.80,"1,050",6.49,518,4.44,"11,593,642",-8.27,934,14.46,644,18.17,290,7.01,"18,719,560",13.08
2005Q2,"2,037",-3.14,"1,405",-3.57,632,-2.17,"14,668,684",-4.26,"1,155",-16.18,820,-8.48,335,-30.50,"22,144,289",-21.62
2005Q3,"3,518",-10.94,"2,258",-12.28,"1,260",-8.43,"28,831,987",-21.00,"1,170",10.07,804,14.69,366,1.10,"24,195,781",13.24
2005Q4,"3,633",-21.21,"2,446",-13.63,"1,187",-33.28,"38,669,313",-5.13,"1,886",16.20,"1,298",14.87,588,19.27,"39,229,556",49.26
2006Q1,"1,277",-18.56,888,-15.43,389,-24.90,"10,791,773",-6.92,902,-3.43,612,-4.97,290,0.00,"16,235,523",-13.27
2006Q2,"1,946",-4.47,"1,335",-4.98,611,-3.32,"14,373,158",-2.01,"1,232",6.67,820,0.00,412,22.99,"24,739,700",11.72
2006Q3,"3,298",-6.25,"2,250",-0.35,"1,048",-16.83,"29,558,492",2.52,"1,482",26.67,"1,011",25.75,471,28.69,"30,704,306",26.90
2006Q4,"3,732",2.73,"2,523",3.15,"1,209",1.85,"32,672,151",-15.51,"1,546",-18.03,"1,037",-20.11,509,-13.44,"30,025,107",-23.46
2007Q1,"1,416",10.88,"1,006",13.29,410,5.40,"12,174,949",12.82,"1,041",15.41,730,19.28,311,7.24,"20,668,692",27.31
2007Q2,"1,802",-7.40,"1,240",-7.12,562,-8.02,"15,124,871",5.23,"1,639",33.04,"1,089",32.80,550,33.50,"31,809,368",28.58
2007Q3,"2,467",-25.20,"1,719",-23.60,748,-28.63,"29,009,118",-1.86,"1,454",-1.89,"1,027",1.58,427,-9.34,"26,242,472",-14.53
2007Q4,"3,574",-4.23,"2,534",0.44,"1,040",-13.98,"36,808,774",12.66,"1,720",11.25,"1,219",17.55,501,-1.57,"30,930,029",3.01
2008Q1,"1,307",-7.70,949,-5.67,358,-12.68,"10,525,082",-13.55,"1,292",24.11,934,27.95,358,15.11,"21,149,269",2.33
2008Q2,"1,790",-0.67,"1,281",3.31,509,-9.43,"14,327,101",-5.27,"1,764",7.63,"1,234",13.31,530,-3.64,"32,279,512",1.48
