期間,總計-人數- 計(人)_原始值,總計-人數- 計(人)_年增率(%),總計-人數- 男(人)_原始值,總計-人數- 男(人)_年增率(%),總計-人數- 女(人)_原始值,總計-人數- 女(人)_年增率(%),總計-金額(元)_原始值,總計-金額(元)_年增率(%),低收入戶-1款(省)、0類(北)、 1類(高)-人數(人)_原始值,低收入戶-1款(省)、0類(北)、 1類(高)-人數(人)_年增率(%),低收入戶-1款(省)、0類(北)、 1類(高)-金額(元)_原始值,低收入戶-1款(省)、0類(北)、 1類(高)-金額(元)_年增率(%),低收入戶-2款(省) 、1、2類(北)、2類(高)-人數(人)_原始值,低收入戶-2款(省) 、1、2類(北)、2類(高)-人數(人)_年增率(%),低收入戶-2款(省) 、1、2類(北)、2類(高)-金額(元)_原始值,低收入戶-2款(省) 、1、2類(北)、2類(高)-金額(元)_年增率(%),低收入戶-3款(省) 、3、4類(北)、3類(高)-人數(人)_原始值,低收入戶-3款(省) 、3、4類(北)、3類(高)-人數(人)_年增率(%),低收入戶-3款(省) 、3、4類(北)、3類(高)-金額(元)_原始值,低收入戶-3款(省) 、3、4類(北)、3類(高)-金額(元)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-人數(人)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-人數(人)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-金額(元)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-未超過最低生活費標準1.5倍者-金額(元)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-人數(人)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-人數(人)_年增率(%),非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-金額(元)_原始值,非低收入戶(未超過最低生活費標準2.5倍者)-最低生活費標準1.5倍以上者-金額(元)_年增率(%)
1994,"84,462",...,...,...,...,...,"1,792,000,000",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1995,"314,526",272.39,...,...,...,...,"10,982,000,000",512.83,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1996,"272,878",-13.24,...,...,...,...,"15,567,711,291",41.76,"5,601",...,"443,160,955",...,"6,907",...,"504,403,295",...,"7,280",...,"544,038,770",...,"107,242",...,"8,029,384,784",...,"145,848",...,"6,046,723,487",...
1997,"157,077",-42.44,...,...,...,...,"10,590,908,076",-31.97,"4,922",-12.12,"380,048,995",-14.24,"7,202",4.27,"498,410,348",-1.19,"7,034",-3.38,"493,437,532",-9.30,"53,228",-50.37,"5,554,313,573",-30.83,"84,691",-41.93,"3,664,697,628",-39.39
1998,"191,852",22.14,...,...,...,...,"8,978,115,181",-15.23,"4,360",-11.42,"335,571,763",-11.70,"8,110",12.61,"536,951,122",7.73,"7,105",1.01,"495,816,724",0.48,"78,487",47.45,"4,648,115,823",-16.32,"93,790",10.74,"2,961,659,749",-19.18
1999,"190,583",-0.66,...,...,...,...,"9,994,304,668",11.32,"3,883",-10.94,"295,253,099",-12.01,"8,274",2.02,"578,685,254",7.77,"7,209",1.46,"503,193,370",1.49,"79,884",1.78,"5,581,127,327",20.07,"91,333",-2.62,"3,036,045,618",2.51
2000,"204,964",7.55,...,...,...,...,"10,425,760,879",4.32,"3,400",-12.44,"253,875,344",-14.01,"8,599",3.93,"608,921,859",5.23,"7,603",5.47,"520,761,512",3.49,"86,239",7.96,"5,863,728,619",5.06,"99,123",8.53,"3,178,473,545",4.69
2001,"181,211",-11.59,...,...,...,...,"9,823,860,567",-5.77,"2,895",-14.85,"225,116,551",-11.33,"8,346",-2.94,"603,226,096",-0.94,"7,458",-1.91,"507,612,913",-2.52,"84,157",-2.41,"5,840,441,963",-0.40,"78,355",-20.95,"2,647,463,044",-16.71
2002,"182,392",0.65,...,...,...,...,"9,992,655,349",1.72,"2,657",-8.22,"195,319,750",-13.24,"7,734",-7.33,"565,848,214",-6.20,"7,842",5.15,"538,162,941",6.02,"85,091",1.11,"5,933,115,780",1.59,"79,068",0.91,"2,760,208,664",4.26
2003,"173,951",-4.63,"84,609",...,"89,342",...,"9,879,475,809",-1.13,"2,506",-5.68,"186,922,244",-4.30,"7,177",-7.20,"521,400,434",-7.86,"8,115",3.48,"565,002,249",4.99,"89,158",4.78,"6,214,803,746",4.75,"66,995",-15.27,"2,391,347,136",-13.36
