期間,婦女福利服務中心-年底機構數-合計_原始值,婦女福利服務中心-年底機構數-合計_年增率(%),婦女福利服務中心-年底機構數-公立_原始值,婦女福利服務中心-年底機構數-公立_年增率(%),婦女福利服務中心-年底機構數-私立_原始值,婦女福利服務中心-年底機構數-私立_年增率(%),婦女福利服務中心-年底機構數-公設民營_原始值,婦女福利服務中心-年底機構數-公設民營_年增率(%),婦女中途之家、庇護中心-年底機構數-合計_原始值,婦女中途之家、庇護中心-年底機構數-合計_年增率(%),婦女中途之家、庇護中心-年底機構數-公立_原始值,婦女中途之家、庇護中心-年底機構數-公立_年增率(%),婦女中途之家、庇護中心-年底機構數-私立_原始值,婦女中途之家、庇護中心-年底機構數-私立_年增率(%),婦女中途之家、庇護中心-年底機構數-公設民營_原始值,婦女中途之家、庇護中心-年底機構數-公設民營_年增率(%),婦女中途之家、庇護中心-最高可收容人數(人)_原始值,婦女中途之家、庇護中心-最高可收容人數(人)_年增率(%),婦女中途之家、庇護中心-收容個案數(人次)_原始值,婦女中途之家、庇護中心-收容個案數(人次)_年增率(%),法律諮詢(人次)_原始值,法律諮詢(人次)_年增率(%),諮商輔導(人次)_原始值,諮商輔導(人次)_年增率(%),親職講座-辦理次數(次)_原始值,親職講座-辦理次數(次)_年增率(%),親職講座-參加人次_原始值,親職講座-參加人次_年增率(%),婦女福利(服務)活動-辦理次數(次)_原始值,婦女福利(服務)活動-辦理次數(次)_年增率(%),婦女福利(服務)活動-參加人次_原始值,婦女福利(服務)活動-參加人次_年增率(%),婦女學苑(成長教育)-班數(班)_原始值,婦女學苑(成長教育)-班數(班)_年增率(%),婦女學苑(成長教育)-參加人次_原始值,婦女學苑(成長教育)-參加人次_年增率(%),其他婦女福利服務-辦理次數(次)_原始值,其他婦女福利服務-辦理次數(次)_年增率(%),其他婦女福利服務-參加人次_原始值,其他婦女福利服務-參加人次_年增率(%),外籍配偶電話訪問(人次)_原始值,外籍配偶電話訪問(人次)_年增率(%),外籍配偶家庭訪視(人次)_原始值,外籍配偶家庭訪視(人次)_年增率(%),外籍配偶個案管理輔導服務人次_原始值,外籍配偶個案管理輔導服務人次_年增率(%),外籍配偶個人支持性服務-辦理場次(次)_原始值,外籍配偶個人支持性服務-辦理場次(次)_年增率(%),外籍配偶個人支持性服務-參加人次_原始值,外籍配偶個人支持性服務-參加人次_年增率(%),外籍配偶家庭支持性服務-辦理次數(次)_原始值,外籍配偶家庭支持性服務-辦理次數(次)_年增率(%),外籍配偶家庭支持性服務-參加人次_原始值,外籍配偶家庭支持性服務-參加人次_年增率(%),外籍配偶福利宣傳活動-辦理次數(次)_原始值,外籍配偶福利宣傳活動-辦理次數(次)_年增率(%),外籍配偶福利宣傳活動-參加人次_原始值,外籍配偶福利宣傳活動-參加人次_年增率(%),外籍配偶生活適應輔導班(含進階班)-班數(班)_原始值,外籍配偶生活適應輔導班(含進階班)-班數(班)_年增率(%),外籍配偶生活適應輔導班(含進階班)-參加人次_原始值,外籍配偶生活適應輔導班(含進階班)-參加人次_年增率(%),其他外籍配偶家庭福利服務-班數(班)_原始值,其他外籍配偶家庭福利服務-班數(班)_年增率(%),其他外籍配偶家庭福利服務-參加人次_原始值,其他外籍配偶家庭福利服務-參加人次_年增率(%)
1998,83,...,31,...,52,...,0,...,30,...,12,...,18,...,0,...,342,...,579,...,"15,036",...,"30,921",...,...,...,"63,757",...,...,...,"32,785",...,...,...,"94,800",...,...,...,"38,983",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1999,43,-48.19,37,19.35,6,-88.46,0,--,28,-6.67,11,-8.33,17,-5.56,0,--,441,28.95,545,-5.87,"8,886",-40.90,"36,073",16.66,...,...,"43,980",-31.02,...,...,"135,789",314.18,...,...,"85,060",-10.27,...,...,"100,083",156.73,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
2000,39,-9.30,39,5.41,0,-100.00,0,--,30,7.14,11,0.00,19,11.76,0,--,430,-2.49,532,-2.39,"12,177",37.04,"28,146",-21.97,...,...,"34,421",-21.73,...,...,"166,000",22.25,...,...,"139,641",64.17,...,...,"127,204",27.10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
2001,44,12.82,44,12.82,0,--,0,--,28,-6.67,11,0.00,17,-10.53,0,--,431,0.23,616,15.79,"12,252",0.62,"45,911",63.12,...,...,"46,919",36.31,...,...,"270,527",62.97,...,...,"96,281",-31.05,...,...,"33,643",-73.55,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
2002,39,-11.36,22,-50.00,4,--,13,--,27,-3.57,7,-36.36,15,-11.76,5,--,305,-29.23,853,38.47,"15,388",25.60,"62,200",35.48,333,...,"39,768",-15.24,"1,708",...,"167,606",-38.04,727,...,"54,111",-43.80,217,...,"303,213",801.27,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,52,...,"7,139",...,...,...,...,...
2003,41,5.13,24,9.09,3,-25.00,14,7.69,37,37.04,7,0.00,25,66.67,5,0.00,280,-8.20,"1,129",32.36,"15,203",-1.20,"59,050",-5.06,400,20.12,"27,790",-30.12,"2,113",23.71,"192,558",14.89,"1,469",102.06,"165,063",205.05,406,87.10,"114,142",-62.36,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,217,317.31,"21,550",201.86,...,...,...,...
2004,55,34.15,38,58.33,1,-66.67,16,14.29,42,13.51,6,-14.29,28,12.00,8,60.00,370,32.14,"1,371",21.43,"20,841",37.08,"53,106",-10.07,617,54.25,"33,937",22.12,"3,088",46.14,"280,341",45.59,"2,510",70.86,"102,737",-37.76,948,133.50,"152,627",33.72,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,323,48.85,"20,834",-3.32,...,...,...,...
2005,60,9.09,41,7.89,1,0.00,18,12.50,49,16.67,7,16.67,33,17.86,9,12.50,408,10.27,"1,753",27.86,"19,022",-8.73,"44,140",-16.88,502,-18.64,"26,788",-21.07,"2,445",-20.82,"221,178",-21.10,"2,275",-9.36,"70,135",-31.73,"1,536",62.03,"104,949",-31.24,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,377,16.72,"11,119",-46.63,...,...,...,...
2006,62,3.33,46,12.20,1,0.00,15,-16.67,40,-18.37,7,0.00,22,-33.33,11,22.22,385,-5.64,"1,924",9.75,"19,496",2.49,"51,595",16.89,"1,918",282.07,"23,681",-11.60,"1,474",-39.71,"223,033",0.84,"2,928",28.70,"111,472",58.94,920,-40.10,"112,451",7.15,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,707,87.53,"19,937",79.31,...,...,...,...
2007,75,20.97,54,17.39,2,100.00,19,26.67,37,-7.50,3,-57.14,21,-4.55,13,18.18,330,-14.29,"1,902",-1.14,"18,400",-5.62,"45,239",-12.32,504,-73.72,"36,403",53.72,"2,309",56.65,"236,683",6.12,"2,157",-26.33,"64,850",-41.82,"1,861",102.28,"155,601",38.37,"52,667",...,"11,304",...,"25,503",...,677,...,"16,652",...,544,...,"37,886",...,770,...,"94,215",...,405,-42.72,"11,243",-43.61,...,...,...,...
2008,58,-22.67,32,-40.74,1,-50.00,25,31.58,37,0.00,4,33.33,25,19.05,8,-38.46,331,0.30,"2,987",57.05,"22,099",20.10,"33,690",-25.53,638,26.59,"39,049",7.27,"1,842",-20.23,"221,142",-6.57,"3,090",43.25,"164,833",154.18,"2,326",24.99,"84,443",-45.73,"70,875",34.57,"16,225",43.53,"30,030",17.75,556,-17.87,"24,390",46.47,366,-32.72,"20,834",-45.01,452,-41.30,"62,882",-33.26,339,-16.30,"11,968",6.45,...,...,...,...
