期間,寄養家庭戶數(戶)-計_原始值,寄養家庭戶數(戶)-計_年增率(%),寄養家庭戶數(戶)-寄養家庭數_原始值,寄養家庭戶數(戶)-寄養家庭數_年增率(%),寄養家庭戶數(戶)-儲備寄養家庭數_原始值,寄養家庭戶數(戶)-儲備寄養家庭數_年增率(%),寄養兒童及少年人數(人)-計_原始值,寄養兒童及少年人數(人)-計_年增率(%),寄養兒童及少年人數(人)-男_原始值,寄養兒童及少年人數(人)-男_年增率(%),寄養兒童及少年人數(人)-女_原始值,寄養兒童及少年人數(人)-女_年增率(%),中低收入戶兒童及少年生活扶助人數(人)-計_原始值,中低收入戶兒童及少年生活扶助人數(人)-計_年增率(%),中低收入戶兒童及少年生活扶助人數(人)-男_原始值,中低收入戶兒童及少年生活扶助人數(人)-男_年增率(%),中低收入戶兒童及少年生活扶助人數(人)-女_原始值,中低收入戶兒童及少年生活扶助人數(人)-女_年增率(%),中低收入戶兒童及少年生活扶助人次_原始值,中低收入戶兒童及少年生活扶助人次_年增率(%),中低收入戶兒童及少年生活扶助金額(元)_原始值,中低收入戶兒童及少年生活扶助金額(元)_年增率(%),托育補助/津貼-人數(人)-計_原始值,托育補助/津貼-人數(人)-計_年增率(%),托育補助/津貼-人數(人)-男_原始值,托育補助/津貼-人數(人)-男_年增率(%),托育補助/津貼-人數(人)-女_原始值,托育補助/津貼-人數(人)-女_年增率(%),托育補助/津貼-人次_原始值,托育補助/津貼-人次_年增率(%),托育補助/津貼-金額(元)_原始值,托育補助/津貼-金額(元)_年增率(%),目賭家庭暴力服務人次_原始值,目賭家庭暴力服務人次_年增率(%),無戶籍兒童及少年輔導人數(人)-計_原始值,無戶籍兒童及少年輔導人數(人)-計_年增率(%),無戶籍兒童及少年輔導人數(人)-男_原始值,無戶籍兒童及少年輔導人數(人)-男_年增率(%),無戶籍兒童及少年輔導人數(人)-女_原始值,無戶籍兒童及少年輔導人數(人)-女_年增率(%),緊急庇護人次_原始值,緊急庇護人次_年增率(%),一般安置人次_原始值,一般安置人次_年增率(%),個案輔導人次_原始值,個案輔導人次_年增率(%),追蹤輔導人次_原始值,追蹤輔導人次_年增率(%),陪同出庭次數(次)_原始值,陪同出庭次數(次)_年增率(%),親職教育活動(次)_原始值,親職教育活動(次)_年增率(%),辦理育樂活動-次數(次)_原始值,辦理育樂活動-次數(次)_年增率(%),辦理育樂活動-參加人次_原始值,辦理育樂活動-參加人次_年增率(%),工作人員在職訓練-次數(次)_原始值,工作人員在職訓練-次數(次)_年增率(%),工作人員在職訓練-參加人次_原始值,工作人員在職訓練-參加人次_年增率(%)
2004,"1,241",...,"1,001",...,240,...,"1,960",...,930,...,"1,030",...,"62,704",...,"31,790",...,"30,914",...,"597,918",...,"1,080,559,034",...,"9,572",...,"5,020",...,"4,552",...,"99,428",...,"263,396,796",...,"2,286",...,612,...,298,...,314,...,890,...,"4,210",...,"39,839",...,"11,886",...,980,...,"8,059",...,"10,574",...,"230,558",...,878,...,"9,342",...
2005,"1,398",12.65,"1,185",18.38,213,-11.25,"2,052",4.69,984,5.81,"1,068",3.69,"138,745",121.27,"71,127",123.74,"67,618",118.73,"824,842",37.95,"1,714,960,948",58.71,"9,509",-0.66,"4,933",-1.73,"4,576",0.53,"109,847",10.48,"300,601,166",14.12,"3,866",69.12,"1,066",74.18,593,98.99,473,50.64,829,-6.85,"3,571",-15.18,"44,760",12.35,"9,632",-18.96,"1,357",38.47,"6,749",-16.26,"6,174",-41.61,"272,053",18.00,695,-20.84,"7,686",-17.73
2006,"1,433",2.50,"1,245",5.06,188,-11.74,"2,031",-1.02,"1,012",2.85,"1,019",-4.59,"109,024",-21.42,"55,007",-22.66,"54,017",-20.11,"906,194",9.86,"1,723,932,253",0.52,"10,425",9.63,"5,435",10.18,"4,990",9.05,"112,674",2.57,"313,293,783",4.22,"3,285",-15.03,680,-36.21,371,-37.44,309,-34.67,"1,036",24.97,"5,039",41.11,"43,873",-1.98,"9,471",-1.67,"1,600",17.91,"24,553",263.80,"6,662",7.90,"270,740",-0.48,"1,990",186.33,"9,367",21.87
2007,"1,432",-0.07,"1,226",-1.53,206,9.57,"1,941",-4.43,948,-6.32,993,-2.55,"78,154",-28.31,"40,520",-26.34,"37,634",-30.33,"820,487",-9.46,"1,263,084,988",-26.73,"10,996",5.48,"5,690",4.69,"5,306",6.33,"112,970",0.26,"332,503,974",6.13,"6,976",112.36,565,-16.91,251,-32.35,314,1.62,"1,143",10.33,"4,572",-9.27,"83,315",89.90,"12,019",26.90,"1,415",-11.56,"19,809",-19.32,"9,250",38.85,"285,648",5.51,"1,718",-13.67,"9,835",5.00
2008,"1,490",4.05,"1,271",3.67,219,6.31,"1,849",-4.74,925,-2.43,924,-6.95,"118,192",51.23,"59,406",46.61,"58,786",56.20,"1,039,134",26.65,"1,583,184,132",25.34,"15,257",38.75,"7,998",40.56,"7,259",36.81,"110,589",-2.11,"343,309,557",3.25,"8,209",17.67,593,4.96,276,9.96,317,0.96,"1,177",2.97,"5,973",30.64,"115,109",38.16,"12,490",3.92,"1,771",25.16,"15,562",-21.44,"17,578",90.03,"717,817",151.29,"2,950",71.71,"11,417",16.09
2009,"1,469",-1.41,"1,202",-5.43,267,21.92,"1,761",-4.76,921,-0.43,840,-9.09,"113,898",-3.63,"57,568",-3.09,"56,330",-4.18,"1,222,200",17.62,"1,959,155,638",23.75,"11,077",-27.40,"5,728",-28.38,"5,349",-26.31,"105,236",-4.84,"309,019,912",-9.99,"9,052",10.27,533,-10.12,346,25.36,187,-41.01,963,-18.18,"8,605",44.06,"192,625",67.34,"14,742",18.03,"2,084",17.67,"37,004",137.78,"6,334",-63.97,"306,370",-57.32,"1,922",-34.85,"10,949",-4.10
2010,"1,540",4.83,"1,260",4.83,280,4.87,"1,905",8.18,968,5.10,937,11.55,"118,286",3.85,"59,631",3.58,"58,655",4.13,"1,355,253",10.89,"2,053,521,232",4.82,"11,687",5.51,"6,110",6.67,"5,577",4.26,"123,246",17.11,"357,054,344",15.54,"12,144",34.16,554,3.94,284,-17.92,270,44.39,"1,361",41.33,"13,521",57.13,"238,159",23.64,"15,830",7.38,"2,409",15.60,"17,986",-51.39,"12,257",93.51,"210,577",-31.27,"2,364",23.00,"11,552",5.51
2011,"1,513",-1.75,"1,243",-1.35,270,-3.57,"1,802",-5.41,937,-3.20,865,-7.68,"117,309",-0.83,"59,206",-0.71,"58,103",-0.94,"1,348,606",-0.49,"1,997,757,320",-2.72,"14,219",21.67,"7,418",21.41,"6,801",21.95,"150,629",22.22,"432,614,030",21.16,"9,611",-20.86,362,-34.66,225,-20.77,137,-49.26,"1,309",-3.82,"11,548",-14.59,"232,229",-2.49,"18,862",19.15,"3,107",28.97,"12,787",-28.91,"20,958",70.99,"253,106",20.20,"5,586",136.29,"23,408",102.63
2012,"1,591",5.16,"1,248",0.40,343,27.04,"1,835",1.83,927,-1.07,908,4.97,"124,936",6.50,"62,066",4.83,"62,870",8.20,"1,466,688",8.76,"2,880,343,461",44.18,"13,790",-3.02,"7,262",-2.10,"6,528",-4.01,"130,964",-13.06,"395,501,844",-8.58,"12,451",29.55,303,-16.30,192,-14.67,111,-18.98,"1,822",39.19,"15,453",33.82,"356,769",53.63,"21,414",13.53,"3,606",16.06,"30,629",139.53,"17,019",-18.79,"862,751",240.87,"2,039",-63.50,"17,699",-24.39
2013,"1,529",-3.90,"1,275",2.16,254,-25.95,"1,804",-1.69,899,-3.02,905,-0.33,"124,167",-0.62,"63,799",2.79,"60,368",-3.98,"1,406,040",-4.14,"2,780,580,199",-3.46,415,-96.99,214,-97.05,201,-96.92,"3,040",-97.68,"12,093,198",-96.94,"13,814",10.95,447,47.52,229,19.27,218,96.40,"1,730",-5.05,"13,570",-12.19,"255,127",-28.49,"29,719",38.78,"5,560",54.19,"50,073",63.48,"24,640",44.78,"375,268",-56.50,"2,502",22.71,"23,629",33.50
