期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),按年齡分 - 0-未滿3歲_原始值,按年齡分 - 0-未滿3歲_年增率(%),按年齡分 - 0-未滿3歲_原始值,按年齡分 - 0-未滿3歲_年增率(%),按年齡分 - 0-未滿3歲_原始值,按年齡分 - 0-未滿3歲_年增率(%),按年齡分 - 3-未滿6歲_原始值,按年齡分 - 3-未滿6歲_年增率(%),按年齡分 - 3-未滿6歲_原始值,按年齡分 - 3-未滿6歲_年增率(%),按年齡分 - 3-未滿6歲_原始值,按年齡分 - 3-未滿6歲_年增率(%),按年齡分 - 6歲以上_原始值,按年齡分 - 6歲以上_年增率(%),按年齡分 - 6歲以上_原始值,按年齡分 - 6歲以上_年增率(%),按年齡分 - 6歲以上_原始值,按年齡分 - 6歲以上_年增率(%),按通報來源分-家長、監護者_原始值,按通報來源分-家長、監護者_年增率(%),按通報來源分-家長、監護者_原始值,按通報來源分-家長、監護者_年增率(%),按通報來源分-家長、監護者_原始值,按通報來源分-家長、監護者_年增率(%),按通報來源分-托育機構_原始值,按通報來源分-托育機構_年增率(%),按通報來源分-托育機構_原始值,按通報來源分-托育機構_年增率(%),按通報來源分-托育機構_原始值,按通報來源分-托育機構_年增率(%),按通報來源分-早療機構_原始值,按通報來源分-早療機構_年增率(%),按通報來源分-早療機構_原始值,按通報來源分-早療機構_年增率(%),按通報來源分-早療機構_原始值,按通報來源分-早療機構_年增率(%),按通報來源分-社福機構_原始值,按通報來源分-社福機構_年增率(%),按通報來源分-社福機構_原始值,按通報來源分-社福機構_年增率(%),按通報來源分-社福機構_原始值,按通報來源分-社福機構_年增率(%),按通報來源分-幼教機構_原始值,按通報來源分-幼教機構_年增率(%),按通報來源分-幼教機構_原始值,按通報來源分-幼教機構_年增率(%),按通報來源分-幼教機構_原始值,按通報來源分-幼教機構_年增率(%),按通報來源分-醫療機構_原始值,按通報來源分-醫療機構_年增率(%),按通報來源分-醫療機構_原始值,按通報來源分-醫療機構_年增率(%),按通報來源分-醫療機構_原始值,按通報來源分-醫療機構_年增率(%),按通報來源分-衛生所_原始值,按通報來源分-衛生所_年增率(%),按通報來源分-衛生所_原始值,按通報來源分-衛生所_年增率(%),按通報來源分-衛生所_原始值,按通報來源分-衛生所_年增率(%),按通報來源分-其他_原始值,按通報來源分-其他_年增率(%),按通報來源分-其他_原始值,按通報來源分-其他_年增率(%),按通報來源分-其他_原始值,按通報來源分-其他_年增率(%)
2003,"13,231",...,"8,825",...,"4,406",...,"4,139",...,"2,660",...,"1,479",...,"7,557",...,"5,177",...,"2,380",...,"1,535",...,988,...,547,...,"1,185",...,829,...,356,...,"2,461",...,"1,562",...,899,...,991,...,619,...,372,...,"1,314",...,798,...,516,...,667,...,453,...,214,...,"6,013",...,"4,008",...,"2,005",...,"3,404",...,"2,241",...,"1,163",...,600,...,386,...,214,...
2004,"11,778",-10.98,"7,869",-10.83,"3,909",-11.28,"4,058",-1.96,"2,648",-0.45,"1,410",-4.67,"6,682",-11.58,"4,535",-12.40,"2,147",-9.79,"1,038",-32.38,686,-30.57,352,-35.65,"1,378",16.29,951,14.72,427,19.94,"1,066",-56.68,708,-54.67,358,-60.18,"1,073",8.27,688,11.15,385,3.49,"1,375",4.64,853,6.89,522,1.16,547,-17.99,361,-20.31,186,-13.08,"5,211",-13.34,"3,564",-11.08,"1,647",-17.86,"1,215",-64.31,757,-66.22,458,-60.62,"1,128",88.00,744,92.75,384,79.44
2005,"12,176",3.38,"8,174",3.88,"4,002",2.38,"4,512",11.19,"2,881",8.80,"1,631",15.67,"6,672",-0.15,"4,669",2.95,"2,003",-6.71,992,-4.43,624,-9.04,368,4.55,"1,198",-13.06,832,-12.51,366,-14.29,"1,016",-4.69,696,-1.69,320,-10.61,779,-27.40,489,-28.92,290,-24.68,"1,351",-1.75,864,1.29,487,-6.70,454,-17.00,313,-13.30,141,-24.19,"6,992",34.18,"4,718",32.38,"2,274",38.07,"1,071",-11.85,687,-9.25,384,-16.16,386,-65.78,262,-64.78,124,-67.71
2006,"12,688",4.20,"8,536",4.43,"4,152",3.75,"5,098",12.99,"3,321",15.27,"1,777",8.95,"6,798",1.89,"4,677",0.17,"2,121",5.89,792,-20.16,538,-13.78,254,-30.98,"1,151",-3.92,831,-0.12,320,-12.57,"1,015",-0.10,720,3.45,295,-7.81,343,-55.97,211,-56.85,132,-54.48,"2,878",113.03,"1,850",114.12,"1,028",111.09,679,49.56,409,30.67,270,91.49,"5,947",-14.95,"4,054",-14.07,"1,893",-16.75,...,...,...,...,...,...,675,74.87,461,75.95,214,72.58
2007,"14,250",12.31,"9,570",12.11,"4,680",12.72,"6,201",21.64,"3,953",19.03,"2,248",26.51,"7,273",6.99,"5,100",9.04,"2,173",2.45,776,-2.02,517,-3.90,259,1.97,"1,161",0.87,769,-7.46,392,22.50,969,-4.53,663,-7.92,306,3.73,325,-5.25,213,0.95,112,-15.15,"2,410",-16.26,"1,552",-16.11,858,-16.54,"1,048",54.34,722,76.53,326,20.74,"7,637",28.42,"5,202",28.32,"2,435",28.63,...,...,...,...,...,...,700,3.70,449,-2.60,251,17.29
2008,"15,033",5.49,"10,110",5.64,"4,923",5.19,"6,655",7.32,"4,310",9.03,"2,345",4.31,"7,439",2.28,"5,153",1.04,"2,286",5.20,939,21.01,647,25.15,292,12.74,"1,413",21.71,971,26.27,442,12.76,"1,068",10.22,741,11.76,327,6.86,347,6.77,224,5.16,123,9.82,"2,468",2.41,"1,578",1.68,890,3.73,"1,122",7.06,769,6.51,353,8.28,"7,875",3.12,"5,340",2.65,"2,535",4.11,...,...,...,...,...,...,740,5.71,487,8.46,253,0.80
2009,"16,167",7.54,"10,856",7.38,"5,311",7.88,"6,103",-8.29,"3,995",-7.31,"2,108",-10.11,"8,789",18.15,"5,986",16.17,"2,803",22.62,"1,275",35.78,875,35.24,400,36.99,"1,312",-7.15,885,-8.86,427,-3.39,"1,187",11.14,784,5.80,403,23.24,178,-48.70,109,-51.34,69,-43.90,"3,057",23.87,"1,885",19.46,"1,172",31.69,838,-25.31,570,-25.88,268,-24.08,"5,569",-29.28,"3,931",-26.39,"1,638",-35.38,"1,925",...,"1,267",...,658,...,"2,101",183.92,"1,425",192.61,676,167.19
2010,"17,304",7.03,"11,843",9.09,"5,461",2.82,"6,957",13.99,"4,627",15.82,"2,330",10.53,"9,122",3.79,"6,341",5.93,"2,781",-0.78,"1,225",-3.92,875,0.00,350,-12.50,"1,549",18.06,"1,066",20.45,483,13.11,"1,240",4.47,853,8.80,387,-3.97,311,74.72,191,75.23,120,73.91,"2,656",-13.12,"1,727",-8.38,929,-20.73,935,11.58,655,14.91,280,4.48,"6,197",11.28,"4,442",13.00,"1,755",7.14,"2,736",42.13,"1,745",37.73,991,50.61,"1,680",-20.04,"1,164",-18.32,516,-23.67
2011,"15,848",-8.41,"10,779",-8.98,"5,069",-7.18,"5,850",-15.91,"3,896",-15.80,"1,954",-16.14,"8,816",-3.35,"6,073",-4.23,"2,743",-1.37,"1,182",-3.51,810,-7.43,372,6.29,"1,502",-3.03,"1,041",-2.35,461,-4.55,976,-21.29,664,-22.16,312,-19.38,185,-40.51,113,-40.84,72,-40.00,"2,407",-9.38,"1,514",-12.33,893,-3.88,"1,112",18.93,756,15.42,356,27.14,"6,450",4.08,"4,578",3.06,"1,872",6.67,"1,910",-30.19,"1,248",-28.48,662,-33.20,"1,306",-22.26,865,-25.69,441,-14.53
2012,"17,324",9.31,"11,867",10.09,"5,457",7.65,"6,270",7.18,"4,153",6.60,"2,117",8.34,"9,921",12.53,"6,915",13.86,"3,006",9.59,"1,133",-4.15,798,-1.48,335,-9.95,"1,537",2.33,"1,048",0.67,489,6.07,427,-56.25,293,-55.87,134,-57.05,582,214.59,378,234.51,204,183.33,"2,731",13.46,"1,823",20.41,908,1.68,"1,518",36.51,"1,014",34.13,504,41.57,"6,814",5.64,"4,819",5.26,"1,995",6.57,"2,169",13.56,"1,417",13.54,752,13.60,"1,547",18.45,"1,075",24.28,472,7.03
