期間,市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%)
1999,"9,762",...,"5,109",...,"28,239,564",...,"270,328",...,"829,996",...,"6,322,214",...,7.6,...,"9,959,292",...,"51,276",...,"6,473",...,"13,188,622",...,"593,259",...,"367,757",...,"5,569,674",...,15.1,...,"11,727,540",...
2000,"9,526",-2.41,"4,908",-3.93,"28,369,801",0.46,"274,122",1.40,"790,789",-4.72,"6,072,911",-3.94,7.7,0.82,"9,446,618",-5.15,"53,327",4.00,"6,548",1.16,"13,483,934",2.24,"654,679",10.35,"354,896",-3.50,"8,584,250",54.12,24.2,59.71,"12,400,885",5.74
2001,"9,919",4.12,"4,993",1.73,"28,998,620",2.22,"283,461",3.41,"804,337",1.71,"6,288,993",3.56,7.8,1.81,"10,915,855",15.55,"60,235",12.95,"6,259",-4.41,"13,333,563",-1.12,"677,822",3.54,"305,009",-14.06,"8,947,544",4.23,29.3,21.28,"13,377,036",7.87
2002,"8,804",-11.24,"5,277",5.69,"30,882,766",6.50,"302,892",6.85,"778,421",-3.22,"6,114,208",-2.78,7.9,0.46,"10,691,576",-2.05,"60,144",-0.15,"6,701",7.06,"13,507,879",1.31,"759,708",12.08,"278,609",-8.66,"9,655,450",7.91,34.7,18.14,"13,683,808",2.29
2003,"8,717",-0.99,"5,253",-0.45,"31,085,213",0.66,"310,873",2.63,"742,684",-4.59,"5,873,266",-3.94,7.9,0.68,"10,140,028",-5.16,"61,544",2.33,"7,029",4.89,"13,362,459",-1.08,"764,302",0.60,"249,752",-10.36,"8,870,361",-8.13,35.5,2.48,"12,571,215",-8.13
2004,"9,164",5.12,"5,478",4.28,"32,317,409",3.96,"331,330",6.58,"765,136",3.02,"6,115,445",4.12,8.0,1.07,"10,370,075",2.27,"62,002",0.74,"7,270",3.43,"13,504,622",1.06,"808,838",5.83,"254,019",1.71,"9,662,302",8.93,38.0,7.10,"13,857,846",10.23
2005,"9,421",2.81,"5,756",5.07,"32,114,849",-0.63,"335,773",1.34,"760,514",-0.60,"6,108,533",-0.11,8.0,0.49,"10,894,727",5.06,"59,760",-3.62,"7,312",0.58,"13,258,246",-1.82,"844,052",4.35,"252,824",-0.47,"9,991,636",3.41,39.5,3.90,"14,693,334",6.03
2006,"9,743",3.41,"5,742",-0.24,"31,841,690",-0.85,"334,643",-0.34,"768,532",1.05,"6,195,016",1.42,8.1,0.36,"11,099,415",1.88,"58,741",-1.71,"7,282",-0.41,"12,631,302",-4.73,"831,358",-1.50,"245,219",-3.01,"10,190,969",1.99,41.6,5.16,"15,483,031",5.37
2007,"10,115",3.82,"5,707",-0.61,"31,321,010",-1.64,"327,055",-2.27,"778,461",1.29,"6,293,834",1.60,8.1,0.30,"11,941,338",7.59,"58,261",-0.82,"7,448",2.28,"12,564,502",-0.53,"800,582",-3.70,"242,330",-1.18,"9,685,410",-4.96,40.0,-3.83,"14,992,994",-3.16
2008,"10,933",8.08,"5,807",1.75,"31,131,851",-0.60,"330,309",0.99,"807,660",3.75,"6,442,971",2.37,8.0,-1.33,"12,492,797",4.62,"55,514",-4.72,"7,160",-3.87,"12,003,412",-4.47,"707,779",-11.59,"246,434",1.69,"9,340,145",-3.56,37.9,-5.17,"14,583,586",-2.73
2009,"11,232",2.73,"6,049",4.17,"31,441,770",1.00,"335,613",1.61,"800,975",-0.83,"6,433,076",-0.15,8.0,0.68,"12,355,922",-1.10,"54,420",-1.97,"7,074",-1.20,"11,864,595",-1.16,"691,296",-2.33,"237,805",-3.50,"9,449,233",1.17,39.7,4.84,"14,264,371",-2.19
2010,"12,115",7.87,"6,761",11.77,"24,022,117",-23.60,"367,545",9.51,"877,067",9.50,"7,021,088",9.14,8.0,-0.33,"13,427,980",8.68,"54,845",0.78,"7,139",0.92,"11,655,302",-1.76,"696,277",0.72,"232,762",-2.12,"9,285,959",-1.73,39.9,0.40,"14,681,554",2.92
2011,"14,504",19.72,"8,209",21.42,"27,087,740",12.76,"390,019",6.11,"943,694",7.60,"7,503,861",6.88,8.0,-0.67,"14,479,949",7.83,"47,595",-13.22,"6,798",-4.78,"10,971,879",-5.86,"696,666",0.06,"220,603",-5.22,"9,536,027",2.69,43.2,8.35,"14,725,118",0.30
2012,"18,307",26.22,"8,507",3.63,"28,699,997",5.95,"417,211",6.97,"994,709",5.41,"8,187,862",9.12,8.2,3.52,"16,726,865",15.52,"47,632",0.08,"6,227",-8.40,"8,998,850",-17.98,"641,912",-7.86,"197,051",-10.68,"9,397,446",-1.45,47.7,10.33,"14,357,119",-2.50
2013,...,...,...,...,"30,988,794",7.97,"450,483",7.97,"1,045,243",5.08,"8,886,912",8.54,8.5,3.29,"17,778,328",6.29,"41,052",-13.81,"5,955",-4.37,"8,849,529",-1.66,"606,608",-5.50,"173,867",-11.77,"9,023,140",-3.98,51.9,8.82,"13,703,907",-4.55
