期間,期末營業車輛(輛)_原始值,期末營業車輛(輛)_年增率(%),行車次數(次)_原始值,行車次數(次)_年增率(%),行車里程(千車公里)_原始值,行車里程(千車公里)_年增率(%),貨運噸數(千公噸)_原始值,貨運噸數(千公噸)_年增率(%),延噸公里(千噸公里)_原始值,延噸公里(千噸公里)_年增率(%),平均每噸貨物運距(公里)_原始值,平均每噸貨物運距(公里)_年增率(%),貨運收入(千元)_原始值,貨運收入(千元)_年增率(%)
2001M01,"95,287",...,"3,200,287",...,"405,675",...,"43,435",...,"2,338,876",...,53.8,...,"8,247,860",...
2001M02,"81,348",...,"3,158,410",...,"408,755",...,"42,663",...,"2,310,978",...,54.2,...,"8,157,569",...
2001M03,"81,339",...,"3,212,877",...,"401,770",...,"41,388",...,"2,357,608",...,57.0,...,"8,482,458",...
2001M04,"81,444",...,"3,226,863",...,"402,561",...,"42,419",...,"2,344,438",...,55.3,...,"8,403,296",...
2001M05,"80,996",...,"3,340,640",...,"402,739",...,"42,795",...,"2,373,653",...,55.5,...,"8,547,325",...
2001M06,"80,935",...,"3,237,377",...,"375,830",...,"41,497",...,"2,334,265",...,56.3,...,"8,311,488",...
2001M07,"80,737",...,"3,191,649",...,"398,318",...,"40,382",...,"2,277,944",...,56.4,...,"8,197,603",...
2001M08,"80,739",...,"3,200,766",...,"395,577",...,"40,662",...,"2,267,358",...,55.8,...,"8,251,006",...
2001M09,"94,332",...,"3,135,469",...,"386,385",...,"42,000",...,"2,263,957",...,53.9,...,"8,206,171",...
2001M10,"81,016",...,"3,233,011",...,"389,139",...,"42,543",...,"2,308,428",...,54.3,...,"8,360,371",...
2001M11,"80,135",...,"3,165,046",...,"399,396",...,"41,200",...,"2,337,357",...,56.7,...,"8,432,657",...
2001M12,"80,644",...,"3,160,680",...,"398,284",...,"41,316",...,"2,295,189",...,55.6,...,"8,324,450",...
2002M01,"81,977",-13.97,"3,249,188",1.53,"410,760",1.25,"41,301",-4.91,"2,352,265",0.57,57.0,5.77,"8,772,654",6.36
2002M02,"82,737",1.71,"2,927,907",-7.30,"372,322",-8.91,"38,253",-10.34,"2,214,876",-4.16,57.9,6.89,"7,821,607",-4.12
2002M03,"97,782",20.22,"3,374,004",5.02,"403,281",0.38,"41,328",-0.15,"2,365,395",0.33,57.2,0.48,"8,721,792",2.82
2002M04,"83,651",2.71,"3,409,244",5.65,"407,078",1.12,"41,353",-2.51,"2,399,537",2.35,58.0,4.99,"8,731,499",3.91
2002M05,"84,558",4.40,"3,368,925",0.85,"424,976",5.52,"41,960",-1.95,"2,451,535",3.28,58.4,5.34,"8,750,426",2.38
2002M06,"84,574",4.50,"3,219,974",-0.54,"398,620",6.06,"40,934",-1.35,"2,367,290",1.41,57.8,2.81,"8,432,167",1.45
2002M07,"83,317",3.20,"3,342,819",4.74,"385,643",-3.18,"41,614",3.05,"2,376,063",4.31,57.1,1.22,"8,486,427",3.52
2002M08,"83,301",3.17,"3,410,715",6.56,"391,814",-0.95,"42,319",4.08,"2,392,480",5.52,56.5,1.39,"8,554,104",3.67
2002M09,"83,527",-11.45,"3,376,343",7.68,"380,004",-1.65,"41,913",-0.21,"2,373,802",4.85,56.6,5.07,"8,564,842",4.37
2002M10,"83,379",2.92,"3,411,884",5.53,"383,971",-1.33,"42,387",-0.37,"2,361,876",2.32,55.7,2.69,"8,541,629",2.17
2002M11,"81,020",1.10,"3,353,472",5.95,"381,414",-4.50,"42,122",2.24,"2,330,462",-0.29,55.3,-2.48,"8,372,021",-0.72
2002M12,"81,575",1.15,"3,414,199",8.02,"384,838",-3.38,"43,048",4.19,"2,355,675",2.64,54.7,-1.49,"8,405,974",0.98
2003M01,"81,058",-1.12,"3,450,852",6.21,"385,234",-6.21,"43,000",4.11,"2,418,922",2.83,56.3,-1.23,"8,564,731",-2.37
2003M02,"80,637",-2.54,"3,004,412",2.61,"340,411",-8.57,"37,725",-1.38,"2,065,825",-6.73,54.8,-5.42,"7,260,096",-7.18
2003M03,"80,668",-17.50,"3,339,264",-1.03,"380,247",-5.71,"42,068",1.79,"2,341,305",-1.02,55.7,-2.76,"8,409,972",-3.58
2003M04,"80,858",-3.34,"3,330,504",-2.31,"381,076",-6.39,"41,606",0.61,"2,341,545",-2.42,56.3,-3.01,"8,366,955",-4.18
2003M05,"81,102",-4.09,"3,249,523",-3.54,"380,478",-10.47,"41,108",-2.03,"2,305,925",-5.94,56.1,-3.99,"8,409,329",-3.90
2003M06,"80,948",-4.29,"3,258,532",1.20,"378,248",-5.11,"40,847",-0.21,"2,300,012",-2.84,56.3,-2.64,"8,295,117",-1.63
2003M07,"81,393",-2.31,"3,477,416",4.03,"396,226",2.74,"43,920",5.54,"2,437,546",2.59,55.5,-2.80,"8,856,575",4.36
2003M08,"81,250",-2.46,"3,471,416",1.78,"396,639",1.23,"43,623",3.08,"2,474,105",3.41,56.7,0.32,"8,875,263",3.75
2003M09,"81,063",-2.95,"3,482,066",3.13,"398,378",4.84,"44,051",5.10,"2,475,144",4.27,56.2,-0.79,"8,971,099",4.74
2003M10,"80,998",-2.86,"3,485,426",2.16,"398,648",3.82,"44,094",4.03,"2,484,272",5.18,56.3,1.11,"8,993,938",5.30
2003M11,"80,594",-0.53,"3,539,731",5.55,"407,577",6.86,"45,119",7.11,"2,528,685",8.51,56.0,1.30,"9,129,145",9.04
2003M12,"80,763",-1.00,"3,585,993",5.03,"410,525",6.67,"45,518",5.74,"2,562,148",8.76,56.3,2.86,"9,429,640",12.18
2004M01,"81,535",0.59,"3,506,856",1.62,"402,767",4.55,"44,152",2.68,"2,489,788",2.93,56.4,0.24,"9,068,672",5.88
2004M02,"81,626",1.23,"3,509,545",16.81,"401,768",18.02,"44,295",17.41,"2,471,036",19.61,55.8,1.87,"9,109,139",25.47
2004M03,"81,723",1.31,"3,601,202",7.84,"408,397",7.40,"44,476",5.72,"2,551,059",8.96,57.4,3.06,"9,395,594",11.72
2004M04,"81,981",1.39,"3,595,468",7.96,"408,892",7.30,"44,670",7.36,"2,524,720",7.82,56.5,0.43,"9,364,360",11.92
2004M05,"81,942",1.04,"3,653,707",12.44,"416,084",9.36,"45,323",10.25,"2,566,607",11.30,56.6,0.96,"9,398,266",11.76
2004M06,"82,063",1.38,"3,693,954",13.36,"423,470",11.96,"46,658",14.23,"2,610,490",13.50,55.9,-0.64,"9,516,319",14.72
2004M07,"82,444",1.29,"3,658,426",5.21,"423,018",6.76,"45,813",4.31,"2,629,659",7.88,57.4,3.42,"9,576,756",8.13
