期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%)
2000,"291,748",...,"26,334,787",...,"51,638,525",...,"1,159,414",...,"7,722,016",...,"222,024",...,"13,118,367",...,"3,937,966",...,"51,250",...,"7,208",...,"69,724",...,"13,216,420",...,"47,700,559",...,"1,108,164",...,"7,714,808",...
2001,"277,595",-4.85,"25,378,878",-3.63,"48,603,649",-5.88,"1,121,615",-3.26,"7,326,705",-5.12,"202,923",-8.60,"12,055,845",-8.10,"3,649,813",-7.32,"53,368",4.13,"7,249",0.57,"74,672",7.10,"13,323,033",0.81,"44,953,835",-5.76,"1,068,247",-3.60,"7,319,456",-5.12
2002,"274,697",-1.04,"24,674,971",-2.77,"51,057,628",5.05,"1,344,694",19.89,"8,742,667",19.33,"191,978",-5.39,"10,748,282",-10.85,"3,335,551",-8.61,"57,104",7.00,"8,690",19.87,"82,719",10.78,"13,926,689",4.53,"47,722,077",6.16,"1,287,590",20.53,"8,733,977",19.33
2003,"250,219",-8.91,"22,258,388",-9.79,"46,611,102",-8.71,"1,480,859",10.13,"9,497,497",8.63,"168,440",-12.26,"9,949,410",-7.43,"3,083,657",-7.55,"53,159",-6.91,"8,077",-7.05,"81,779",-1.14,"12,308,978",-11.62,"43,527,445",-8.79,"1,427,700",10.88,"9,489,420",8.65
2004,"262,608",4.95,"26,173,804",17.59,"57,267,909",22.86,"1,754,120",18.45,"11,281,670",18.79,"161,863",-3.90,"10,435,597",4.89,"3,281,672",6.42,"55,267",3.97,"7,422",-8.10,"100,745",23.19,"15,738,207",27.86,"53,986,238",24.03,"1,698,853",18.99,"11,274,247",18.81
2005,"255,208",-2.82,"26,652,530",1.83,"60,793,574",6.16,"1,784,796",1.75,"11,398,744",1.04,"146,114",-9.73,"9,571,448",-8.28,"3,020,943",-7.94,"54,555",-1.29,"7,023",-5.38,"109,094",8.29,"17,081,082",8.53,"57,772,630",7.01,"1,730,241",1.85,"11,391,722",1.04
2006,"249,489",-2.24,"26,692,132",0.15,"63,042,833",3.70,"1,785,102",0.02,"11,496,320",0.86,"135,943",-6.96,"8,606,339",-10.08,"2,748,635",-9.01,"53,621",-1.71,"6,975",-0.68,"113,546",4.08,"18,085,793",5.88,"60,294,197",4.36,"1,731,481",0.07,"11,489,345",0.86
2007,"231,897",-7.05,"24,788,069",-7.13,"63,287,076",0.39,"1,731,925",-2.98,"11,145,512",-3.05,"112,528",-17.22,"6,320,940",-26.55,"1,972,843",-28.22,"52,383",-2.31,"6,447",-7.57,"119,369",5.13,"18,467,129",2.11,"61,314,232",1.69,"1,679,542",-3.00,"11,139,065",-3.05
2008,"197,023",-15.04,"22,101,253",-10.84,"58,506,111",-7.55,"1,586,500",-8.40,"9,495,297",-14.81,"89,813",-20.19,"4,908,889",-22.34,"1,473,750",-25.30,"49,911",-4.72,"6,314",-2.06,"107,210",-10.19,"17,192,364",-6.90,"57,032,362",-6.98,"1,536,589",-8.51,"9,488,982",-14.81
2009,"189,208",-3.97,"22,339,639",1.08,"56,918,388",-2.71,"1,427,629",-10.01,"8,604,609",-9.38,"82,447",-8.20,"4,564,516",-7.02,"1,268,615",-13.92,"51,076",2.33,"5,626",-10.90,"106,761",-0.42,"17,775,123",3.39,"55,649,773",-2.42,"1,376,553",-10.42,"8,598,983",-9.38
2010,"203,001",7.29,"25,428,046",13.82,"60,051,227",5.50,"1,919,856",34.48,"11,873,339",37.99,"83,019",0.69,"4,824,917",5.70,"1,238,690",-2.36,"50,981",-0.19,"5,298",-5.82,"119,982",12.38,"20,603,129",15.91,"58,812,537",5.68,"1,868,875",35.76,"11,868,041",38.02
2011,"209,692",3.30,"25,900,716",1.86,"60,123,128",0.12,"1,779,898",-7.29,"10,590,008",-10.81,"87,703",5.64,"5,192,341",7.62,"1,361,637",9.93,"51,462",0.94,"4,887",-7.77,"121,989",1.67,"20,708,375",0.51,"58,761,491",-0.09,"1,728,436",-7.51,"10,585,121",-10.81
2012,"217,846",3.89,"27,869,885",7.60,"63,874,949",6.24,"1,659,166",-6.78,"9,343,505",-11.77,"84,933",-3.16,"5,323,750",2.53,"1,504,482",10.49,"49,034",-4.72,"4,917",0.61,"132,913",8.95,"22,546,135",8.87,"62,370,467",6.14,"1,610,132",-6.84,"9,338,589",-11.78
2013,"231,319",6.18,"29,327,010",5.23,"67,601,223",5.83,"1,642,930",-0.98,"9,195,626",-1.58,"87,939",3.54,"5,265,923",-1.09,"1,472,993",-2.09,"45,651",-6.90,"4,688",-4.66,"143,380",7.88,"24,061,087",6.72,"66,128,230",6.02,"1,597,279",-0.80,"9,190,939",-1.58
