期間,總計_原始值,總計_年增率(%),臺灣桃園國際機場_原始值,臺灣桃園國際機場_年增率(%),高雄國際機場_原始值,高雄國際機場_年增率(%),臺北松山機場_原始值,臺北松山機場_年增率(%),花蓮機場_原始值,花蓮機場_年增率(%),臺東機場_原始值,臺東機場_年增率(%),馬公機場_原始值,馬公機場_年增率(%),臺中機場_原始值,臺中機場_年增率(%),臺南機場_原始值,臺南機場_年增率(%),嘉義機場_原始值,嘉義機場_年增率(%),七美機場_原始值,七美機場_年增率(%),望安機場_原始值,望安機場_年增率(%),蘭嶼機場_原始值,蘭嶼機場_年增率(%),綠島機場_原始值,綠島機場_年增率(%),金門機場_原始值,金門機場_年增率(%),北竿機場_原始值,北竿機場_年增率(%),屏東機場_原始值,屏東機場_年增率(%),南竿機場_原始值,南竿機場_年增率(%)
1996,"54,103,156",18.59,"15,613,624",7.84,"11,642,578",24.40,"15,204,650",28.83,"1,595,466",18.84,"1,173,420",6.41,"2,061,350",4.63,"1,595,824",35.08,"2,356,349",28.73,"1,002,069",32.73,"45,477",106.89,"2,735",-84.35,"63,143",-18.67,"131,033",-20.24,"1,279,551",6.22,"90,308",0.90,"245,579",9.45,...,...
1997,"56,303,128",4.07,"15,990,301",2.41,"12,158,144",4.43,"15,394,038",1.25,"1,855,722",16.31,"1,398,643",19.19,"2,124,330",3.06,"1,878,247",17.70,"2,496,419",5.94,"1,043,695",4.15,"43,861",-3.55,"8,714",218.61,"66,719",5.66,"162,394",23.93,"1,397,638",9.23,"103,008",14.06,"181,255",-26.19,...,...
1998,"51,650,172",-8.26,"15,725,448",-1.66,"11,067,503",-8.97,"13,733,447",-10.79,"1,578,129",-14.96,"1,198,392",-14.32,"2,002,171",-5.75,"1,498,153",-20.24,"2,330,984",-6.63,"909,865",-12.82,"31,474",-28.24,"2,662",-69.45,"54,571",-18.21,"120,580",-25.75,"1,126,396",-19.41,"66,629",-35.32,"121,817",-32.79,...,...
1999,"52,373,887",1.40,"17,044,462",8.39,"10,747,210",-2.89,"13,809,154",0.55,"1,491,849",-5.47,"1,072,248",-10.53,"2,031,214",1.45,"1,545,297",3.15,"2,256,596",-3.19,"929,134",2.12,"21,076",-33.04,"1,116",-58.08,"41,961",-23.11,"93,419",-22.53,"1,054,875",-6.35,"85,662",28.57,"147,971",21.47,...,...
2000,"48,406,929",-7.57,"18,681,418",9.60,"9,144,417",-14.91,"11,110,743",-19.54,"1,299,852",-12.87,"976,594",-8.92,"1,836,641",-9.58,"1,378,995",-10.76,"1,852,867",-17.89,"684,077",-26.37,"19,313",-8.36,"2,589",131.99,"47,862",14.06,"99,396",6.40,"1,041,009",-1.31,"94,551",10.38,"136,605",-7.68,...,...
2001,"46,084,366",-4.80,"18,460,827",-1.18,"8,284,604",-9.40,"10,092,269",-9.17,"1,244,811",-4.23,"948,306",-2.90,"1,875,321",2.11,"1,246,307",-9.62,"1,645,760",-11.18,"536,636",-21.55,"26,609",37.78,"2,885",11.43,"51,768",8.16,"86,219",-13.26,"1,336,773",28.41,"102,428",8.33,"142,843",4.57,...,...
2002,"44,185,595",-4.12,"19,228,411",4.16,"7,799,823",-5.85,"8,789,651",-12.91,"1,093,625",-12.15,"816,399",-13.91,"1,669,249",-10.99,"1,071,303",-14.04,"1,476,983",-10.26,"435,151",-18.91,"25,804",-3.03,"3,316",14.94,"47,709",-7.84,"57,296",-33.55,"1,406,860",5.24,"144,266",40.85,"119,749",-16.17,...,...
2003,"37,879,393",-14.27,"15,514,035",-19.32,"6,644,742",-14.81,"8,108,710",-7.75,"1,059,607",-3.11,"728,832",-10.73,"1,628,320",-2.45,"944,839",-11.80,"1,307,416",-11.48,"357,691",-17.80,"21,011",-18.57,"2,469",-25.54,"44,613",-6.49,"36,420",-36.44,"1,171,977",-16.70,"59,703",-58.62,"105,158",-12.18,"143,850",...
2004,"44,116,510",16.47,"20,083,555",29.45,"7,586,640",14.18,"8,349,732",2.97,"1,008,756",-4.80,"698,392",-4.18,"1,841,259",13.08,"825,012",-12.68,"1,419,174",8.55,"380,159",6.28,"21,289",1.32,"2,040",-17.38,"46,946",5.23,"28,682",-21.25,"1,418,185",21.01,"68,978",15.54,"110,518",5.10,"203,851",41.71
2005,"44,267,770",0.34,"21,700,702",8.05,"7,374,217",-2.80,"7,596,578",-9.02,"915,308",-9.26,"598,690",-14.28,"1,800,714",-2.20,"692,356",-16.08,"1,334,042",-6.00,"348,092",-8.44,"20,855",-2.04,"1,622",-20.49,"47,513",1.21,"27,237",-5.04,"1,447,989",2.10,"66,342",-3.82,"88,427",-19.99,"190,504",-6.55
2006,"43,725,084",-1.23,"22,857,445",5.33,"7,130,321",-3.31,"6,728,709",-11.42,"704,580",-23.02,"484,632",-19.05,"1,749,535",-2.84,"693,378",0.15,"1,230,683",-7.75,"311,580",-10.49,"22,661",8.66,"2,422",49.32,"53,540",12.68,"27,229",-0.03,"1,435,153",-0.89,"55,040",-17.04,"61,607",-30.33,"165,569",-13.09
2007,"39,772,446",-9.04,"23,425,794",2.49,"5,717,242",-19.82,"4,470,859",-33.56,"565,550",-19.73,"457,007",-5.70,"1,692,045",-3.29,"781,388",12.69,"686,963",-44.18,"152,630",-51.01,"20,996",-7.35,"2,503",3.34,"52,955",-1.09,"28,775",5.68,"1,466,235",2.17,"46,894",-14.80,"37,449",-39.21,"161,573",-2.41
