期間,總計_原始值,總計_年增率(%),臺灣桃園國際機場_原始值,臺灣桃園國際機場_年增率(%),高雄國際機場_原始值,高雄國際機場_年增率(%),臺北松山機場_原始值,臺北松山機場_年增率(%),花蓮機場_原始值,花蓮機場_年增率(%),臺東機場_原始值,臺東機場_年增率(%),馬公機場_原始值,馬公機場_年增率(%),臺中機場_原始值,臺中機場_年增率(%),臺南機場_原始值,臺南機場_年增率(%),嘉義機場_原始值,嘉義機場_年增率(%),七美機場_原始值,七美機場_年增率(%),望安機場_原始值,望安機場_年增率(%),蘭嶼機場_原始值,蘭嶼機場_年增率(%),綠島機場_原始值,綠島機場_年增率(%),金門機場_原始值,金門機場_年增率(%),北竿機場_原始值,北竿機場_年增率(%),屏東機場_原始值,屏東機場_年增率(%),南竿機場_原始值,南竿機場_年增率(%)
1996M01,"3,923,487",14.78,"1,131,420",0.30,"809,971",18.39,"1,139,246",26.57,"121,322",14.03,"85,645",7.74,"126,204",-3.59,"122,575",61.48,"179,809",25.93,"78,933",37.69,"2,869",-35.77,884,-32.57,"3,633",-30.79,"8,174",-27.61,"82,104",21.57,"8,023",15.21,"22,675",39.24,...,...
1996M02,"4,487,600",25.39,"1,338,324",8.58,"938,833",27.59,"1,227,446",37.77,"139,130",38.19,"102,887",13.87,"166,500",12.65,"123,376",64.19,"192,447",64.36,"85,390",66.39,"5,401",39.81,"1,442",-18.02,"5,561",-7.67,"10,035",-23.14,"111,777",22.37,"7,429",6.16,"31,622",124.08,...,...
1996M03,"4,172,084",24.41,"1,200,964",8.83,"874,474",24.83,"1,217,907",44.14,"133,102",33.50,"93,847",30.42,"143,628",14.59,"121,656",66.91,"186,528",33.74,"82,834",62.47,"4,110",-5.41,...,...,"5,576",40.70,"10,644",15.19,"60,512",-42.91,"6,664",4.09,"29,638",124.75,...,...
1996M04,"4,325,511",15.05,"1,251,958",1.89,"932,998",18.25,"1,215,836",31.86,"117,066",12.57,"91,251",-5.17,"179,612",1.88,"123,844",46.52,"189,643",26.56,"81,065",30.89,"3,397",-25.37,...,...,"5,206",-31.98,"9,467",-45.25,"96,396",4.74,"6,785",21.42,"20,987",16.80,...,...
1996M05,"4,335,956",21.42,"1,236,926",10.70,"936,453",27.46,"1,241,228",32.94,"122,568",20.02,"81,899",-1.54,"177,776",6.89,"127,150",36.02,"189,064",27.41,"78,658",34.39,"3,341",463.41,...,...,"4,174",-35.81,"7,284",-39.49,"104,105",15.09,"5,875",-13.87,"19,455",25.03,...,...
1996M06,"4,667,549",24.77,"1,337,144",11.08,"994,177",30.88,"1,308,802",41.13,"133,826",21.56,"101,687",3.38,"204,808",11.99,"143,579",44.74,"198,016",32.05,"83,998",44.90,"3,355",...,...,...,"6,880",-23.03,"11,561",-37.14,"114,589",13.91,"4,706",-0.78,"20,421",16.48,...,...
1996M07,"4,951,011",12.85,"1,436,993",5.73,"1,086,774",21.10,"1,338,753",20.34,"130,812",6.72,"110,342",-6.21,"241,964",-2.35,"140,074",26.89,"196,407",20.30,"83,842",27.87,"4,880",...,...,...,"6,968",-31.94,"14,352",-27.70,"132,522",3.45,"7,738",-5.62,"18,590",-16.18,...,...
1996M08,"5,218,111",22.94,"1,516,175",8.03,"1,126,355",34.43,"1,446,166",33.23,"147,340",19.54,"117,478",12.81,"238,533",24.58,"144,776",35.66,"217,838",34.49,"87,085",32.69,"4,216",...,...,...,"7,050",-10.41,"15,051",-7.87,"123,376",10.79,"9,104",6.80,"17,568",-6.58,...,...
1996M09,"4,506,043",18.91,"1,255,620",11.83,"970,416",26.81,"1,306,010",22.17,"130,806",21.95,"98,656",10.57,"175,655",3.54,"135,077",31.83,"196,174",27.62,"82,792",30.86,"3,703",...,...,...,"5,713",-8.40,"13,211",-2.52,"107,161",8.35,"8,537",7.26,"16,512",-12.61,...,...
1996M10,"4,575,699",20.23,"1,363,839",12.84,"1,007,888",24.02,"1,200,622",31.95,"136,425",14.27,"98,442",4.63,"154,940",0.68,"139,799",21.23,"205,027",26.78,"88,654",28.29,"4,354",...,...,...,"5,034",-28.38,"12,221",-8.29,"132,783",23.00,"8,908",-3.84,"16,763",-23.90,...,...
1996M11,"4,372,206",13.97,"1,254,086",8.98,"961,394",24.49,"1,229,357",15.78,"137,845",11.13,"93,917",9.20,"128,140",-2.91,"132,057",10.99,"199,484",22.14,"79,167",11.60,"2,983",332.32,...,...,"3,505",-23.56,"10,743",8.05,"115,901",7.13,"8,501",-7.88,"15,126",-32.16,...,...
1996M12,"4,567,899",10.43,"1,290,175",5.80,"1,002,845",15.31,"1,333,277",16.49,"145,224",18.08,"97,369",5.80,"123,590",-15.24,"141,861",12.25,"205,912",15.12,"89,651",8.83,"2,868",-17.37,409,-58.56,"3,843",14.78,"8,290",-16.85,"98,325",-3.69,"8,038",-8.81,"16,222",-36.44,...,...
