期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2000,"10,510,762",...,"1,954,574",...,"7,425,832",...,"1,130,357",...,"5,230,686",...,"1,045,677",...,"3,634,740",...,"550,270",...,"5,280,075",...,"908,896",...,"3,791,092",...,"580,087",...
2001,"10,427,714",-0.79,"1,815,855",-7.10,"7,540,525",1.54,"1,069,354",-5.40,"5,193,943",-0.70,"946,196",-9.51,"3,730,342",2.63,"516,299",-6.17,"5,233,771",-0.88,"869,659",-4.32,"3,810,183",0.50,"553,055",-4.66
2002,"11,608,634",11.32,"1,918,598",5.66,"8,493,052",12.63,"1,193,657",11.62,"5,778,686",11.26,"978,151",3.38,"4,222,174",13.18,"576,668",11.69,"5,829,948",11.39,"940,447",8.14,"4,270,878",12.09,"616,989",11.56
2003,"12,094,753",4.19,"2,000,707",4.28,"8,843,365",4.12,"1,246,027",4.39,"6,068,883",5.02,"1,039,876",6.31,"4,428,744",4.89,"597,886",3.68,"6,025,870",3.36,"960,831",2.17,"4,414,621",3.37,"648,142",5.05
2004,"13,034,362",7.77,"2,070,192",3.47,"9,714,115",9.85,"1,245,186",-0.07,"6,543,943",7.83,"1,077,536",3.62,"4,873,325",10.04,"590,601",-1.22,"6,490,419",7.71,"992,656",3.31,"4,840,790",9.65,"654,585",0.99
2005,"12,796,813",-1.82,"2,091,458",1.03,"9,471,056",-2.50,"1,228,915",-1.31,"6,421,921",-1.86,"1,084,094",0.61,"4,744,796",-2.64,"590,315",-0.05,"6,374,892",-1.78,"1,007,364",1.48,"4,726,261",-2.37,"638,600",-2.44
2006,"13,107,896",2.43,"2,128,815",1.79,"9,774,671",3.21,"1,198,530",-2.47,"6,516,355",1.47,"1,091,513",0.68,"4,850,163",2.22,"571,670",-3.16,"6,591,541",3.40,"1,037,302",2.97,"4,924,507",4.19,"626,860",-1.84
2007,"13,726,551",4.72,"2,215,483",4.07,"10,256,830",4.93,"1,247,750",4.11,"6,888,324",5.71,"1,136,232",4.10,"5,151,888",6.22,"596,861",4.41,"6,838,227",3.74,"1,079,251",4.04,"5,104,941",3.66,"650,889",3.83
2008,"12,977,393",-5.46,"2,055,258",-7.23,"9,676,554",-5.66,"1,239,412",-0.67,"6,488,717",-5.80,"1,042,006",-8.29,"4,830,846",-6.23,"612,669",2.65,"6,488,677",-5.11,"1,013,253",-6.12,"4,845,708",-5.08,"626,743",-3.71
2009,"11,710,276",-9.76,"1,577,825",-23.23,"8,581,273",-11.32,"1,193,943",-3.67,"5,875,874",-9.44,"817,745",-21.52,"4,297,667",-11.04,"584,008",-4.68,"5,834,402",-10.08,"760,080",-24.99,"4,283,607",-11.60,"609,935",-2.68
2010,"12,736,807",8.77,"1,763,900",11.79,"9,181,211",6.99,"1,356,952",13.65,"6,348,983",8.05,"918,774",12.35,"4,557,041",6.04,"671,150",14.92,"6,387,824",9.49,"845,126",11.19,"4,624,170",7.95,"685,802",12.44
2011,"13,422,647",5.38,"1,749,386",-0.82,"9,636,289",4.96,"1,383,578",1.96,"6,737,491",6.12,"916,928",-0.20,"4,814,254",5.64,"686,415",2.27,"6,685,156",4.65,"832,458",-1.50,"4,822,034",4.28,"697,163",1.66
2012,"13,881,356",3.42,"1,607,566",-8.11,"9,781,221",1.50,"1,395,405",0.85,"6,941,145",3.02,"831,883",-9.27,"4,876,684",1.30,"689,781",0.49,"6,940,212",3.82,"775,683",-6.82,"4,904,537",1.71,"705,624",1.21
2013,"14,046,868",1.19,"1,612,666",0.32,"9,937,719",1.60,"1,467,605",5.17,"7,062,294",1.75,"847,664",1.90,"4,982,383",2.17,"723,223",4.85,"6,984,574",0.64,"765,002",-1.38,"4,955,336",1.04,"744,382",5.49
