期間,收寄函件(千件)_原始值,收寄函件(千件)_年增率(%),收寄包裹(千件)_原始值,收寄包裹(千件)_年增率(%),快捷郵件(千件)_原始值,快捷郵件(千件)_年增率(%),國民通信率(件／人)_原始值,國民通信率(件／人)_年增率(%),儲金戶數(戶)_原始值,儲金戶數(戶)_年增率(%),結存金額(新台幣百萬元)_原始值,結存金額(新台幣百萬元)_年增率(%),匯兌-開發張數(千張)_原始值,匯兌-開發張數(千張)_年增率(%),匯兌-開發金額(新台幣百萬元)_原始值,匯兌-開發金額(新台幣百萬元)_年增率(%),匯兌-兌付張數(千張)_原始值,匯兌-兌付張數(千張)_年增率(%),匯兌-兌付金額(新台幣百萬元)_原始值,匯兌-兌付金額(新台幣百萬元)_年增率(%),簡易壽險保費收入(新台幣千元)_原始值,簡易壽險保費收入(新台幣千元)_年增率(%)
2000,"3,087,898",...,"17,287",...,"10,435",...,139.19,-,"28,736,493",...,"2,836,342",...,"14,669",...,"638,697",...,"15,141",...,"547,270",...,"126,770,132",...
2001,"2,891,453",-6.36,"10,631",-38.50,"7,423",-28.87,129.42,-,"29,259,144",1.82,"3,048,179",7.47,"13,491",-8.03,"857,635",34.28,"13,946",-7.89,"537,993",-1.70,"91,307,510",-27.97
2002,"2,876,084",-0.53,"7,973",-25.00,"5,846",-21.25,128.04,-,"29,296,441",0.13,"3,066,049",0.59,"13,824",2.47,"1,035,278",20.71,"13,828",-0.85,"557,997",3.72,"94,002,430",2.95
2003,"2,731,355",-5.03,"8,953",12.30,"5,854",0.14,121.06,-,"29,530,465",0.80,"3,128,193",2.03,"13,704",-0.86,"1,095,381",5.81,"13,976",1.07,"619,277",10.98,"114,340,323",21.64
2004,"2,815,145",3.07,"12,108",35.24,"5,862",0.14,124.31,-,"29,980,033",1.52,"3,341,590",6.82,"14,277",4.18,"1,279,541",16.81,"14,712",5.27,"814,946",31.60,"112,936,061",-1.23
2005,"2,808,376",-0.24,"15,767",30.22,"5,908",0.79,123.56,-,"30,664,749",2.28,"3,680,061",10.13,"15,768",10.45,"1,405,340",9.83,"15,729",6.91,"964,205",18.32,"118,768,026",5.16
2006,"2,662,932",-5.18,"17,897",13.50,"5,674",-3.95,116.68,-,"31,277,728",2.00,"4,043,903",9.89,"16,163",2.50,"1,491,144",6.11,"16,271",3.44,"1,101,066",14.19,"129,753,438",9.25
2007,"2,669,858",0.26,"19,959",11.52,"5,794",2.10,116.50,-,"31,668,487",1.25,"4,137,041",2.30,"16,294",0.81,"1,719,629",15.32,"16,905",3.90,"1,146,969",4.17,"132,597,641",2.19
2008,"2,645,930",-0.90,"24,269",21.59,"6,294",8.63,115.05,-,"32,293,711",1.97,"4,457,459",7.75,"16,156",-0.85,"1,686,554",-1.92,"17,632",4.30,"1,426,659",24.39,"140,116,878",5.67
2009,"2,625,800",-0.76,"25,351",4.46,"6,497",3.23,113.78,-,"32,432,245",0.43,"4,595,999",3.11,"15,453",-4.35,"1,500,908",-11.01,"17,396",-1.34,"1,152,263",-19.23,"148,108,605",5.70
2010,"2,728,007",3.89,"26,352",3.95,"6,239",-3.97,117.89,-,"32,384,294",-0.15,"4,625,088",0.63,"16,131",4.39,"1,549,184",3.22,"17,821",2.44,"1,067,252",-7.38,"165,969,754",12.06
2011,"2,780,534",1.93,"27,214",3.27,"7,671",22.95,119.88,-,"32,701,882",0.98,"4,716,689",1.98,"16,159",0.18,"1,594,917",2.95,"18,178",2.00,"1,126,241",5.53,"162,504,438",-2.09
2012,"2,706,407",-2.67,"27,946",2.69,"7,653",-0.23,116.30,-,"33,328,431",1.92,"4,995,976",5.92,"15,877",-1.75,"1,598,620",0.23,"19,173",5.47,"1,164,531",3.40,"157,982,168",-2.78
2013,"2,699,978",-0.24,"25,600",-8.40,"7,538",-1.50,115.66,-,"33,994,009",2.00,"5,210,943",4.30,"16,027",0.95,"1,666,041",4.22,"18,888",-1.49,"1,255,315",7.80,...,...
