期間,合計_原始值,合計_年增率(%),亞洲_原始值,亞洲_年增率(%),亞洲-香港、澳門_原始值,亞洲-香港、澳門_年增率(%),亞洲-中國大陸_原始值,亞洲-中國大陸_年增率(%),亞洲-日本_原始值,亞洲-日本_年增率(%),美洲_原始值,美洲_年增率(%),歐洲_原始值,歐洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),非洲_原始值,非洲_年增率(%),未列明_原始值,未列明_年增率(%)
1981M01,"122,717",2.80,"100,685",-0.64,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1981M02,"110,381",-2.43,"92,668",-3.91,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1981M03,"123,247",2.44,"100,180",1.52,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1981M04,"118,966",4.55,"92,730",2.05,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1981M05,"115,844",4.80,"89,194",1.12,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1981M06,"115,778",8.80,"91,832",7.23,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1981M07,"105,157",-0.75,"83,361",-0.80,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1981M08,"125,309",10.45,"102,486",9.49,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1981M09,"108,001",5.86,"85,642",3.20,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1981M10,"139,974",-3.67,"106,829",-6.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1981M11,"118,659",-8.74,"92,821",-10.58,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1981M12,"105,432",-6.63,"84,862",-7.35,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1982M01,"121,786",-0.76,"103,926",3.22,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1982M02,"119,310",8.09,"102,176",10.26,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1982M03,"119,039",-3.41,"98,414",-1.76,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1982M04,"121,047",1.75,"97,522",5.17,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1982M05,"106,709",-7.89,"83,959",-5.87,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1982M06,"108,002",-6.72,"87,461",-4.76,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1982M07,"117,143",11.40,"92,550",11.02,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1982M08,"118,075",-5.77,"97,739",-4.63,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1982M09,"106,810",-1.10,"87,606",2.29,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1982M10,"131,983",-5.71,"100,393",-6.02,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1982M11,"133,784",12.75,"108,506",16.90,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1982M12,"115,490",9.54,"96,414",13.61,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1983M01,"112,212",-7.86,"92,106",-11.37,...,...,...,...,"57,517",...,"12,002",...,"4,701",...,"1,662",...,"1,285",...,456,...
1983M02,"128,667",7.84,"111,699",9.32,...,...,...,...,"59,420",...,"10,201",...,"4,010",...,872,...,691,...,"1,194",...
